SMILES,CAS,target,original_row_index,compound_id,raw_smiles,raw_activity,canonical_smiles,invalid_smiles
[O-][N+](=O)C1=CC=CC=C1C2=CC=CC=C2,86-00-0,2.209,0,compound_0,[O-][N+](=O)C1=CC=CC=C1C2=CC=CC=C2,[O-][N+](=O)C1=CC=CC=C1C2=CC=CC=C2,O=[N+]([O-])c1ccccc1-c1ccccc1,False
[O-][N+](=O)C1=CC(=C(F)C=C1F)[N+]([O-])=O,327-92-4,3.611,1,compound_1,[O-][N+](=O)C1=CC(=C(F)C=C1F)[N+]([O-])=O,[O-][N+](=O)C1=CC(=C(F)C=C1F)[N+]([O-])=O,O=[N+]([O-])c1cc([N+](=O)[O-])c(F)cc1F,False
NC1=C(Cl)C=C(C=C1)[N+]([O-])=O,121-87-9,1.429,2,compound_2,NC1=C(Cl)C=C(C=C1)[N+]([O-])=O,NC1=C(Cl)C=C(C=C1)[N+]([O-])=O,Nc1ccc([N+](=O)[O-])cc1Cl,False
[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O,97-00-7,2.5,3,compound_3,[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O,[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,False
CN1C(=O)C2=C(C=C(C=C2)[N+]([O-])=O)C1=O,41663-84-7,1.867,4,compound_4,CN1C(=O)C2=C(C=C(C=C2)[N+]([O-])=O)C1=O,CN1C(=O)C2=C(C=C(C=C2)[N+]([O-])=O)C1=O,CN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O,False
[O-][N+](=O)C1=CC=C(F)C=C1F,446-35-5,2.903,5,compound_5,[O-][N+](=O)C1=CC=C(F)C=C1F,[O-][N+](=O)C1=CC=C(F)C=C1F,O=[N+]([O-])c1ccc(F)cc1F,False
OC(=O)C1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)[N+]([O-])=O,128-67-6,2.172,6,compound_6,OC(=O)C1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)[N+]([O-])=O,OC(=O)C1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)[N+]([O-])=O,O=C1c2ccccc2C(=O)c2c1ccc(C(=O)O)c2[N+](=O)[O-],False
[O-][N+](=O)C1=CC2=C(C=C1)C3=C(C=C(C=C3C2=O)[N+]([O-])=O)[N+]([O-])=O,129-79-3,1.503,7,compound_7,[O-][N+](=O)C1=CC2=C(C=C1)C3=C(C=C(C=C3C2=O)[N+]([O-])=O)[N+]([O-])=O,[O-][N+](=O)C1=CC2=C(C=C1)C3=C(C=C(C=C3C2=O)[N+]([O-])=O)[N+]([O-])=O,O=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],False
[O-][N+](=O)C1=CC(=CC=C1Cl)Cl,89-61-2,2.283,8,compound_8,[O-][N+](=O)C1=CC(=CC=C1Cl)Cl,[O-][N+](=O)C1=CC(=CC=C1Cl)Cl,O=[N+]([O-])c1cc(Cl)ccc1Cl,False
NC1=C(O)C=CC(=C1)[N+]([O-])=O,99-57-0,1.808,9,compound_9,NC1=C(O)C=CC(=C1)[N+]([O-])=O,NC1=C(O)C=CC(=C1)[N+]([O-])=O,Nc1cc([N+](=O)[O-])ccc1O,False
NC1=C(O)C=C(C=C1)[N+]([O-])=O,97-52-9,1.586,10,compound_10,NC1=C(O)C=C(C=C1)[N+]([O-])=O,NC1=C(O)C=C(C=C1)[N+]([O-])=O,Nc1ccc([N+](=O)[O-])cc1O,False
CC1=CC(=C(O)C=C1)[N+]([O-])=O,119-33-5,1.659,11,compound_11,CC1=CC(=C(O)C=C1)[N+]([O-])=O,CC1=CC(=C(O)C=C1)[N+]([O-])=O,Cc1ccc(O)c([N+](=O)[O-])c1,False
NC1=CC=CC=C1[N+]([O-])=O,88-74-4,1.936,12,compound_12,NC1=CC=CC=C1[N+]([O-])=O,NC1=CC=CC=C1[N+]([O-])=O,Nc1ccccc1[N+](=O)[O-],False
COC1=C(C=CC=C1)[N+]([O-])=O,91-23-6,2.316,13,compound_13,COC1=C(C=CC=C1)[N+]([O-])=O,COC1=C(C=CC=C1)[N+]([O-])=O,COc1ccccc1[N+](=O)[O-],False
[O-][N+](=O)C1=CC=C2C=CC=CC2=C1,581-89-5,1.595,14,compound_14,[O-][N+](=O)C1=CC=C2C=CC=CC2=C1,[O-][N+](=O)C1=CC=C2C=CC=CC2=C1,O=[N+]([O-])c1ccc2ccccc2c1,False
NC1=CC(=C(N)C=C1)[N+]([O-])=O,5307-14-2,1.863,15,compound_15,NC1=CC(=C(N)C=C1)[N+]([O-])=O,NC1=CC(=C(N)C=C1)[N+]([O-])=O,Nc1ccc(N)c([N+](=O)[O-])c1,False
NC1=CC(=CC=C1)[N+]([O-])=O,99-09-2,2.412,16,compound_16,NC1=CC(=CC=C1)[N+]([O-])=O,NC1=CC(=CC=C1)[N+]([O-])=O,Nc1cccc([N+](=O)[O-])c1,False
CC1=CC(=CC=C1)[N+]([O-])=O,99-08-1,2.107,17,compound_17,CC1=CC(=CC=C1)[N+]([O-])=O,CC1=CC(=CC=C1)[N+]([O-])=O,Cc1cccc([N+](=O)[O-])c1,False
O[S](=O)(=O)C1=C(/C=C/C2=C(C=C(C=C2)[N+]([O-])=O)[S](O)(=O)=O)C=CC(=C1)[N+]([O-])=O,128-42-7,1.534,18,compound_18,O[S](=O)(=O)C1=C(/C=C/C2=C(C=C(C=C2)[N+]([O-])=O)[S](O)(=O)=O)C=CC(=C1)[N+]([O-])=O,O[S](=O)(=O)C1=C(/C=C/C2=C(C=C(C=C2)[N+]([O-])=O)[S](O)(=O)=O)C=CC(=C1)[N+]([O-])=O,O=[N+]([O-])c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,False
NC1=CC(=C(O)C=C1)[N+]([O-])=O,119-34-6,2.021,19,compound_19,NC1=CC(=C(O)C=C1)[N+]([O-])=O,NC1=CC(=C(O)C=C1)[N+]([O-])=O,Nc1ccc(O)c([N+](=O)[O-])c1,False
CC1=C(C=C(N)C=C1)[N+]([O-])=O,119-32-4,1.346,20,compound_20,CC1=C(C=C(N)C=C1)[N+]([O-])=O,CC1=C(C=C(N)C=C1)[N+]([O-])=O,Cc1ccc(N)cc1[N+](=O)[O-],False
NC1=C(C=C(Cl)C=C1)[N+]([O-])=O,89-63-4,2.635,21,compound_21,NC1=C(C=C(Cl)C=C1)[N+]([O-])=O,NC1=C(C=C(Cl)C=C1)[N+]([O-])=O,Nc1ccc(Cl)cc1[N+](=O)[O-],False
OC(=O)C1=CC=C(Cl)C(=C1)[N+]([O-])=O,96-99-1,1.806,22,compound_22,OC(=O)C1=CC=C(Cl)C(=C1)[N+]([O-])=O,OC(=O)C1=CC=C(Cl)C(=C1)[N+]([O-])=O,O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1,False
[O-][N+](=O)C1=C(Cl)C=CC(=C1)C(F)(F)F,121-17-5,2.401,23,compound_23,[O-][N+](=O)C1=C(Cl)C=CC(=C1)C(F)(F)F,[O-][N+](=O)C1=C(Cl)C=CC(=C1)C(F)(F)F,O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,False
NC1=CC=C(C=C1)[N+]([O-])=O,100-01-6,2.265,24,compound_24,NC1=CC=C(C=C1)[N+]([O-])=O,NC1=CC=C(C=C1)[N+]([O-])=O,Nc1ccc([N+](=O)[O-])cc1,False
[O-][N+](=O)C1=CC=C(C=C1)C(Cl)=O,122-04-3,1.52,25,compound_25,[O-][N+](=O)C1=CC=C(C=C1)C(Cl)=O,[O-][N+](=O)C1=CC=C(C=C1)C(Cl)=O,O=C(Cl)c1ccc([N+](=O)[O-])cc1,False
COC1=C(N)C=C(C=C1)[N+]([O-])=O,99-59-2,1.874,26,compound_26,COC1=C(N)C=C(C=C1)[N+]([O-])=O,COC1=C(N)C=C(C=C1)[N+]([O-])=O,COc1ccc([N+](=O)[O-])cc1N,False
CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C2=C(O)C3=CC=CC=C3OC2=O,152-72-7,2.838,27,compound_27,CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C2=C(O)C3=CC=CC=C3OC2=O,CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C2=C(O)C3=CC=CC=C3OC2=O,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,False
OC(=O)C1=C(C=CC(=C1)OC2=CC=C(C=C2Cl)C(F)(F)F)[N+]([O-])=O,50594-66-6,2.422,28,compound_28,OC(=O)C1=C(C=CC(=C1)OC2=CC=C(C=C2Cl)C(F)(F)F)[N+]([O-])=O,OC(=O)C1=C(C=CC(=C1)OC2=CC=C(C=C2Cl)C(F)(F)F)[N+]([O-])=O,O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],False
CC[P](=S)(OC(C)C)OC1=CC=C(C=C1Cl)[N+]([O-])=O,328-04-1,4.005,29,compound_29,CC[P](=S)(OC(C)C)OC1=CC=C(C=C1Cl)[N+]([O-])=O,CC[P](=S)(OC(C)C)OC1=CC=C(C=C1Cl)[N+]([O-])=O,CCP(=S)(Oc1ccc([N+](=O)[O-])cc1Cl)OC(C)C,False
COC1=CC=CC2=C3C4=C(OCO4)C=C(C(O)=O)C3=C(C=C12)[N](=O)=O,313-67-7,3.268,30,compound_30,COC1=CC=CC2=C3C4=C(OCO4)C=C(C(O)=O)C3=C(C=C12)[N](=O)=O,COC1=CC=CC2=C3C4=C(OCO4)C=C(C(O)=O)C3=C(C=C12)[N](=O)=O,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,False
C[N]1C(=NC=C1[N+]([O-])=O)\C=C\C2=NC(=NC=C2)N,62973-76-6,1.511,31,compound_31,C[N]1C(=NC=C1[N+]([O-])=O)\C=C\C2=NC(=NC=C2)N,C[N]1C(=NC=C1[N+]([O-])=O)\C=C\C2=NC(=NC=C2)N,Cn1c([N+](=O)[O-])cnc1/C=C/c1ccnc(N)n1,False
COC1=CC(=CC=C1N)[N](=O)=O,97-52-9,2.227,32,compound_32,COC1=CC(=CC=C1N)[N](=O)=O,COC1=CC(=CC=C1N)[N](=O)=O,COc1cc([N+](=O)[O-])ccc1N,False
[O-][N+](=O)C1=CC=C(CCl)C=C1,100-14-1,1.977,33,compound_33,[O-][N+](=O)C1=CC=C(CCl)C=C1,[O-][N+](=O)C1=CC=C(CCl)C=C1,O=[N+]([O-])c1ccc(CCl)cc1,False
[O-][N+](=O)C1=CC=C(C=C1)N=C=O,100-28-7,2.011,34,compound_34,[O-][N+](=O)C1=CC=C(C=C1)N=C=O,[O-][N+](=O)C1=CC=C(C=C1)N=C=O,O=C=Nc1ccc([N+](=O)[O-])cc1,False
OC(=O)C1=CC(=CC(=C1Cl)[N+]([O-])=O)Cl,88-86-8,1.829,35,compound_35,OC(=O)C1=CC(=CC(=C1Cl)[N+]([O-])=O)Cl,OC(=O)C1=CC(=CC(=C1Cl)[N+]([O-])=O)Cl,O=C(O)c1cc(Cl)cc([N+](=O)[O-])c1Cl,False
COC1=CC(=C(NC(C)=O)C=C1N(CCOC(C)=O)CCOC(C)=O)N=NC2=C(Br)C=C(C=C2[N+]([O-])=O)[N+]([O-])=O,3618-72-2,2.097,36,compound_36,COC1=CC(=C(NC(C)=O)C=C1N(CCOC(C)=O)CCOC(C)=O)N=NC2=C(Br)C=C(C=C2[N+]([O-])=O)[N+]([O-])=O,COC1=CC(=C(NC(C)=O)C=C1N(CCOC(C)=O)CCOC(C)=O)N=NC2=C(Br)C=C(C=C2[N+]([O-])=O)[N+]([O-])=O,COc1cc(N=Nc2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])c(NC(C)=O)cc1N(CCOC(C)=O)CCOC(C)=O,False
