rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': True, 'max_depth': 5, 'max_features': 0.5, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1000}",0.6263011441247202,-0.3245659276675622,0.9291231553061381,0.0,0.0,0.0,0.0,0.9508670717922824,True
2,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1000}",0.6263011441247205,-0.3245659276675626,0.9291231553061424,0.0,0.0,0.0,0.0,0.9508670717922831,False
3,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1000}",0.6263010625423044,-0.32457978804946225,0.9291289691508939,0.0,0.0,0.0,0.0,0.9508808505917667,False
4,"{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1000}",0.6263010625423042,-0.3245797880494624,0.9291289691508937,0.0,0.0,0.0,0.0,0.9508808505917666,False
5,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.6202172646041001,-0.3838502413279945,0.9931771666710212,0.0,0.0,0.0,0.0,1.0040675059320945,False
6,"{'bootstrap': True, 'max_depth': 5, 'max_features': 0.5, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.6202172646041,-0.3838502413279946,0.9931771666710215,0.0,0.0,0.0,0.0,1.0040675059320945,False
7,"{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.6202171150114404,-0.38387768145122786,0.9931880922485951,0.0,0.0,0.0,0.0,1.0040947964626683,False
8,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 1.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.6202171150114406,-0.38387768145122886,0.9931880922485951,0.0,0.0,0.0,0.0,1.0040947964626694,False
9,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1000}",0.5757277888089676,-0.45643286427525337,1.0583674870345758,0.0,0.0,0.0,0.0,1.032160653084221,False
10,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1000}",0.575727788808968,-0.4564328642752534,1.0583674870345754,0.0,0.0,0.0,0.0,1.0321606530842216,False
11,"{'bootstrap': True, 'max_depth': 5, 'max_features': 0.5, 'max_samples': 0.85, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1000}",0.5757277888089678,-0.45643286427525387,1.0583674870345758,0.0,0.0,0.0,0.0,1.0321606530842216,False
12,"{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'max_samples': 0.85, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1000}",0.5757277888089675,-0.45643286427525426,1.0583674870345765,0.0,0.0,0.0,0.0,1.0321606530842218,False
13,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.5739274964289687,-0.5167189227384725,1.1125941322683737,0.0,0.0,0.0,0.0,1.0906464191674412,False
14,"{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'max_samples': 0.85, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.5739274964289685,-0.516718922738473,1.1125941322683734,0.0,0.0,0.0,0.0,1.0906464191674414,False
15,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.85, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.5739274964289685,-0.5167189227384732,1.1125941322683732,0.0,0.0,0.0,0.0,1.0906464191674416,False
16,"{'bootstrap': True, 'max_depth': 5, 'max_features': 0.5, 'max_samples': 0.85, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.5739274964289682,-0.5167189227384739,1.1125941322683737,0.0,0.0,0.0,0.0,1.090646419167442,False
17,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1000}",0.5002015314492257,-0.6659381240198597,1.2188022239891942,0.0,0.0,0.0,0.0,1.1661396554690855,False
18,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.7, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 1000}",0.5002015314492255,-0.6659381240198601,1.2188022239891947,0.0,0.0,0.0,0.0,1.1661396554690855,False
