rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9999750482210011,0.71466696855014,0.21458054834849957,0.0,0.0,0.0,0.0,0.28530807967086114,True
2,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9999750482210011,0.7146669685501397,0.21458054834849946,0.0,0.0,0.0,0.0,0.28530807967086147,False
3,"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9999750482210011,0.7146669685501397,0.21458054834849946,0.0,0.0,0.0,0.0,0.28530807967086147,False
4,"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9999844956206381,0.7081078050805981,0.21720463893814632,0.0,0.0,0.0,0.0,0.29187669054003995,False
5,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9999844956206381,0.7081078050805981,0.21720463893814632,0.0,0.0,0.0,0.0,0.29187669054003995,False
6,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9999844956206381,0.708107805080598,0.21720463893814632,0.0,0.0,0.0,0.0,0.29187669054004006,False
7,"{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9658027022096789,0.644972076628136,0.22414247385871894,0.0,0.0,0.0,0.0,0.32083062558154285,False
8,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9658027022096789,0.6449720766281357,0.22414247385871924,0.0,0.0,0.0,0.0,0.3208306255815432,False
9,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9658027022096789,0.6449720766281357,0.22414247385871913,0.0,0.0,0.0,0.0,0.3208306255815432,False
10,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9659400331940649,0.6361691973470002,0.22855512775333742,0.0,0.0,0.0,0.0,0.3297708358470647,False
