rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9999826279855941,0.7917989601409692,0.15114139970524473,0.0,0.0,0.0,0.0,0.20818366784462494,True
2,"{'bootstrap': False, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9999826279855941,0.7917989601409692,0.1511413997052448,0.0,0.0,0.0,0.0,0.20818366784462494,False
3,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9999908079811972,0.7868247864456693,0.15686940934532612,0.0,0.0,0.0,0.0,0.21316602153552788,False
4,"{'bootstrap': False, 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9999908079811972,0.7868247864456691,0.15686940934532626,0.0,0.0,0.0,0.0,0.2131660215355281,False
5,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9999789200209296,0.7822964612213739,0.1640702900764143,0.0,0.0,0.0,0.0,0.21768245879955572,False
6,"{'bootstrap': False, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9999789200209296,0.7822964612213736,0.16407029007641433,0.0,0.0,0.0,0.0,0.21768245879955594,False
7,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.999992315236072,0.7758205722315233,0.1644454017690442,0.0,0.0,0.0,0.0,0.22417174300454867,False
8,"{'bootstrap': False, 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.999992315236072,0.7758205722315233,0.16444540176904418,0.0,0.0,0.0,0.0,0.22417174300454867,False
9,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9999998817495708,0.7714728641905968,0.15861425171035104,0.0,0.0,0.0,0.0,0.22852701755897398,False
10,"{'bootstrap': False, 'max_depth': 20, 'max_features': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9999998817495708,0.7714728641905968,0.15861425171035104,0.0,0.0,0.0,0.0,0.22852701755897398,False
11,"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9999998613886468,0.7555520536718628,0.18835893932559442,0.0,0.0,0.0,0.0,0.24444780771678398,False
12,"{'bootstrap': False, 'max_depth': 20, 'max_features': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9999998613886468,0.7555520536718628,0.1883589393255944,0.0,0.0,0.0,0.0,0.24444780771678398,False
13,"{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9656421861779154,0.7229887267435299,0.1362272271492722,0.0,0.0,0.0,0.0,0.24265345943438554,False
14,"{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9656421861779154,0.7229887267435297,0.13622722714927246,0.0,0.0,0.0,0.0,0.24265345943438577,False
15,"{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.964515463378793,0.710071834176611,0.13980051105503394,0.0,0.0,0.0,0.0,0.254443629202182,False
16,"{'bootstrap': True, 'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.964515463378793,0.710071834176611,0.13980051105503402,0.0,0.0,0.0,0.0,0.254443629202182,False
17,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9647999905258613,0.7087113103527544,0.1393527655584822,0.0,0.0,0.0,0.0,0.25608868017310693,False
18,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9647999905258613,0.7087113103527543,0.13935276555848208,0.0,0.0,0.0,0.0,0.25608868017310704,False
19,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.964775356803267,0.6931133749097956,0.16926888450729952,0.0,0.0,0.0,0.0,0.27166198189347135,False
20,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.964775356803267,0.6931133749097956,0.16926888450729952,0.0,0.0,0.0,0.0,0.27166198189347135,False
21,"{'bootstrap': True, 'max_depth': None, 'max_features': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9632913503653864,0.6843138848856323,0.16677026235709486,0.0,0.0,0.0,0.0,0.2789774654797541,False
