n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features
1,0.9998520497630332,0.7244656254082582,0.11718896996256999,['Mordred_GATS1v']
2,0.9999714573459716,0.8029432866835311,0.06826829404516872,"['Mordred_GATS1v', 'Mordred_GATS4se']"
3,0.9999651836492891,0.8072199182471123,0.06075278382259809,"['Mordred_ATSC3v', 'Mordred_GATS1v', 'Mordred_GATS4se']"
4,0.9999662677725119,0.8214560873223331,0.06536981750992148,"['Mordred_ATSC3v', 'Mordred_GATS1v', 'Mordred_GATS4se', 'Mordred_SdssC']"
5,0.9999716208530806,0.8302975780976409,0.06110205809851433,"['Mordred_ATSC3v', 'Mordred_GATS1v', 'Mordred_GATS4se', 'Mordred_MID_X', 'Mordred_SdssC']"
6,0.9999619194312797,0.851891784744583,0.06180503678935347,"['Mordred_ATSC3v', 'Mordred_AXp-2dv', 'Mordred_GATS1v', 'Mordred_GATS4se', 'Mordred_MID_X', 'Mordred_SdssC']"
7,0.9999636018957346,0.8503505012755698,0.08813052971260533,"['Mordred_AATS3dv', 'Mordred_ATSC3v', 'Mordred_AXp-2dv', 'Mordred_GATS1v', 'Mordred_GATS4se', 'Mordred_MID_X', 'Mordred_SdssC']"
8,0.9999069628751974,0.850486145038585,0.061059566931784034,"['Mordred_AATS3dv', 'Mordred_ATSC3v', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_GATS1v', 'Mordred_GATS4se', 'Mordred_MID_X', 'Mordred_SdssC']"
9,0.9999415995260663,0.8670569446700249,0.054704506161207936,"['Mordred_AATS3dv', 'Mordred_ATSC3v', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_GATS1v', 'Mordred_GATS4se', 'Mordred_MID_X', 'Mordred_SdssC', 'RDKit_EState_VSA9']"
10,0.9999866350710901,0.8496165873614927,0.0685492231532595,"['Mordred_AATS3dv', 'Mordred_AATS4Z', 'Mordred_ATSC3v', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_GATS1v', 'Mordred_GATS4se', 'Mordred_MID_X', 'Mordred_SdssC', 'RDKit_EState_VSA9']"
11,0.9999473064770932,0.8471525151881988,0.06833645753080736,"['Mordred_AATS3dv', 'Mordred_AATS4Z', 'Mordred_ATSC3v', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_GATS1v', 'Mordred_GATS4se', 'Mordred_MID_X', 'Mordred_SdssC', 'RDKit_EState_VSA9']"
12,0.9999855805687203,0.8513088030307859,0.060597691142529664,"['Mordred_AATS3dv', 'Mordred_AATS4Z', 'Mordred_ATSC3v', 'Mordred_ATSC4m', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_GATS1v', 'Mordred_GATS4se', 'Mordred_MID_X', 'Mordred_SdssC', 'RDKit_EState_VSA9']"
13,0.9999342713270142,0.8411091165110613,0.07739505787872959,"['Mordred_AATS3dv', 'Mordred_AATS4Z', 'Mordred_ATSC3v', 'Mordred_ATSC4m', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_GATS1v', 'Mordred_GATS4se', 'Mordred_MID_X', 'Mordred_SdssC', 'Mordred_VSA_EState5', 'RDKit_EState_VSA9']"
14,0.9999747630331753,0.8338577947375294,0.081607446699244,"['Mordred_AATS3dv', 'Mordred_AATS4Z', 'Mordred_AETA_eta_F', 'Mordred_ATSC3v', 'Mordred_ATSC4m', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_GATS1v', 'Mordred_GATS4se', 'Mordred_MID_X', 'Mordred_SdssC', 'Mordred_VSA_EState5', 'RDKit_EState_VSA9']"
15,0.9999266318325435,0.8420797492678348,0.08237246116387442,"['Mordred_AATS3dv', 'Mordred_AATS4Z', 'Mordred_AETA_eta_F', 'Mordred_ATSC3v', 'Mordred_ATSC4m', 'Mordred_AXp-2dv', 'Mordred_BCUTd-1l', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_GATS1v', 'Mordred_GATS4se', 'Mordred_MID_X', 'Mordred_SdssC', 'Mordred_VSA_EState5', 'RDKit_EState_VSA9']"
16,0.9999901184834123,0.8432899196186797,0.061287253348320664,"['Mordred_AATS3dv', 'Mordred_AATS4Z', 'Mordred_AETA_eta_F', 'Mordred_ATSC3v', 'Mordred_ATSC4c', 'Mordred_ATSC4m', 'Mordred_AXp-2dv', 'Mordred_BCUTd-1l', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_GATS1v', 'Mordred_GATS4se', 'Mordred_MID_X', 'Mordred_SdssC', 'Mordred_VSA_EState5', 'RDKit_EState_VSA9']"
17,0.9999829857819905,0.8417476443945262,0.07150362824395051,"['Mordred_AATS3dv', 'Mordred_AATS4Z', 'Mordred_AETA_eta_F', 'Mordred_ATSC3v', 'Mordred_ATSC4c', 'Mordred_ATSC4m', 'Mordred_AXp-2dv', 'Mordred_BCUTd-1l', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_GATS1v', 'Mordred_GATS4dv', 'Mordred_GATS4se', 'Mordred_MID_X', 'Mordred_SdssC', 'Mordred_VSA_EState5', 'RDKit_EState_VSA9']"
18,0.9999844360189574,0.843911069934769,0.07989614814675833,"['Mordred_AATS3dv', 'Mordred_AATS4Z', 'Mordred_AETA_eta_F', 'Mordred_ATSC3v', 'Mordred_ATSC4c', 'Mordred_ATSC4m', 'Mordred_AXp-2dv', 'Mordred_BCUTd-1l', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_GATS1v', 'Mordred_GATS4dv', 'Mordred_GATS4se', 'Mordred_MID_X', 'Mordred_SdssC', 'Mordred_SpMAD_Dzi', 'Mordred_VSA_EState5', 'RDKit_EState_VSA9']"
