n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features
1,0.6152606635071092,0.541312168992985,0.2201298654994086,['RDKit_Chi4v']
2,0.7967677725118483,0.6714867123788618,0.2050493684622611,"['Mordred_ATSC3Z', 'RDKit_Chi4v']"
3,0.7896303317535542,0.7058406137970425,0.1620638631696014,"['Mordred_AATSC3m', 'Mordred_ATSC3Z', 'RDKit_Chi4v']"
4,0.8774407582938389,0.7599154386137799,0.08958275413615469,"['Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_GATS2dv', 'RDKit_Chi4v']"
5,0.882218009478673,0.7910920305161814,0.08060922326258509,"['Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_GATS2dv', 'Mordred_GATS3i', 'RDKit_Chi4v']"
6,0.8887298578199052,0.7903497160967172,0.0817305041911616,"['Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_GATS1m', 'Mordred_GATS2dv', 'Mordred_GATS3i', 'RDKit_Chi4v']"
7,0.8651848341232227,0.8269679152377284,0.07524661376616804,"['Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_ATSC3v', 'Mordred_GATS1m', 'Mordred_GATS2dv', 'Mordred_GATS3i', 'RDKit_Chi4v']"
8,0.8638483412322275,0.8395687666033667,0.0671641358466658,"['Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_ATSC3v', 'Mordred_GATS1m', 'Mordred_GATS2dv', 'Mordred_GATS3i', 'RDKit_Chi4v', 'RDKit_fr_Ar_OH']"
9,0.8924549763033175,0.8452724632125769,0.07117254864887192,"['Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_ATSC3v', 'Mordred_GATS1m', 'Mordred_GATS2dv', 'Mordred_GATS3i', 'RDKit_Chi4v', 'RDKit_EState_VSA8', 'RDKit_fr_Ar_OH']"
10,0.8669763033175355,0.8464757534593452,0.0713178479686723,"['Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_ATSC3v', 'Mordred_GATS1m', 'Mordred_GATS2dv', 'Mordred_GATS3i', 'Mordred_GATS3v', 'RDKit_Chi4v', 'RDKit_EState_VSA8', 'RDKit_fr_Ar_OH']"
11,0.8611753554502368,0.8508452605693634,0.0714117252352123,"['Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_ATSC3v', 'Mordred_GATS1m', 'Mordred_GATS2dv', 'Mordred_GATS3i', 'Mordred_GATS3v', 'Mordred_Xc-3dv', 'RDKit_Chi4v', 'RDKit_EState_VSA8', 'RDKit_fr_Ar_OH']"
12,0.8611753554502368,0.8508452605693634,0.0714117252352123,"['Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_ATSC3v', 'Mordred_ETA_shape_x', 'Mordred_GATS1m', 'Mordred_GATS2dv', 'Mordred_GATS3i', 'Mordred_GATS3v', 'Mordred_Xc-3dv', 'RDKit_Chi4v', 'RDKit_EState_VSA8', 'RDKit_fr_Ar_OH']"
13,0.8653554502369668,0.8485183066508346,0.0682842860658921,"['Mordred_AATS2Z', 'Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_ATSC3v', 'Mordred_ETA_shape_x', 'Mordred_GATS1m', 'Mordred_GATS2dv', 'Mordred_GATS3i', 'Mordred_GATS3v', 'Mordred_Xc-3dv', 'RDKit_Chi4v', 'RDKit_EState_VSA8', 'RDKit_fr_Ar_OH']"
14,0.8517061611374408,0.849965542831739,0.0700632504564008,"['Mordred_AATS2Z', 'Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_ATSC3v', 'Mordred_EState_VSA1', 'Mordred_ETA_shape_x', 'Mordred_GATS1m', 'Mordred_GATS2dv', 'Mordred_GATS3i', 'Mordred_GATS3v', 'Mordred_Xc-3dv', 'RDKit_Chi4v', 'RDKit_EState_VSA8', 'RDKit_fr_Ar_OH']"
15,0.8496587677725118,0.849965542831739,0.07006325045640084,"['Mordred_AATS0Z', 'Mordred_AATS2Z', 'Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_ATSC3v', 'Mordred_EState_VSA1', 'Mordred_ETA_shape_x', 'Mordred_GATS1m', 'Mordred_GATS2dv', 'Mordred_GATS3i', 'Mordred_GATS3v', 'Mordred_Xc-3dv', 'RDKit_Chi4v', 'RDKit_EState_VSA8', 'RDKit_fr_Ar_OH']"
16,0.8568815165876777,0.8394807785849732,0.06406492767339361,"['Mordred_AATS0Z', 'Mordred_AATS2Z', 'Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_ATSC3v', 'Mordred_EState_VSA1', 'Mordred_ETA_shape_x', 'Mordred_GATS1m', 'Mordred_GATS2dv', 'Mordred_GATS3i', 'Mordred_GATS3v', 'Mordred_Xc-3dv', 'RDKit_Chi4v', 'RDKit_EState_VSA8', 'RDKit_VSA_EState3', 'RDKit_fr_Ar_OH']"
17,0.8637061611374408,0.8433400750673854,0.06780603320050972,"['Mordred_AATS0Z', 'Mordred_AATS2Z', 'Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_ATSC3v', 'Mordred_EState_VSA1', 'Mordred_ETA_shape_x', 'Mordred_GATS1m', 'Mordred_GATS2dv', 'Mordred_GATS3i', 'Mordred_GATS3v', 'Mordred_Xc-3dv', 'RDKit_Chi4v', 'RDKit_EState_VSA8', 'RDKit_VSA_EState3', 'RDKit_fr_Al_OH', 'RDKit_fr_Ar_OH']"
18,0.8429478672985783,0.8213584925134676,0.09534497379394083,"['Mordred_AATS0Z', 'Mordred_AATS2Z', 'Mordred_AATSC0p', 'Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_ATSC3v', 'Mordred_EState_VSA1', 'Mordred_ETA_shape_x', 'Mordred_GATS1m', 'Mordred_GATS2dv', 'Mordred_GATS3i', 'Mordred_GATS3v', 'Mordred_Xc-3dv', 'RDKit_Chi4v', 'RDKit_EState_VSA8', 'RDKit_VSA_EState3', 'RDKit_fr_Al_OH', 'RDKit_fr_Ar_OH']"
19,0.8416966824644552,0.8224265713787295,0.12794020924763214,"['Mordred_AATS0Z', 'Mordred_AATS2Z', 'Mordred_AATSC0p', 'Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_ATSC3v', 'Mordred_EState_VSA1', 'Mordred_ETA_shape_x', 'Mordred_GATS1m', 'Mordred_GATS1s', 'Mordred_GATS2dv', 'Mordred_GATS3i', 'Mordred_GATS3v', 'Mordred_Xc-3dv', 'RDKit_Chi4v', 'RDKit_EState_VSA8', 'RDKit_VSA_EState3', 'RDKit_fr_Al_OH', 'RDKit_fr_Ar_OH']"
20,0.8495165876777253,0.8232986367836348,0.09760021169729793,"['Mordred_AATS0Z', 'Mordred_AATS2Z', 'Mordred_AATSC0p', 'Mordred_AATSC3m', 'Mordred_ATSC3Z', 'Mordred_ATSC3v', 'Mordred_AXp-1dv', 'Mordred_EState_VSA1', 'Mordred_ETA_shape_x', 'Mordred_GATS1m', 'Mordred_GATS1s', 'Mordred_GATS2dv', 'Mordred_GATS3i', 'Mordred_GATS3v', 'Mordred_Xc-3dv', 'RDKit_Chi4v', 'RDKit_EState_VSA8', 'RDKit_VSA_EState3', 'RDKit_fr_Al_OH', 'RDKit_fr_Ar_OH']"
