n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features
1,0.6449863027045695,0.5517471912770011,0.2504613114936436,['Mordred_ATSC1v']
2,0.715708158644632,0.6553402170755017,0.2075128366707105,"['Mordred_ATSC1v', 'Mordred_MATS4s']"
3,0.8275118349884333,0.7094148479851492,0.1111025428380549,"['Mordred_ATSC1v', 'Mordred_MATS4s', 'RDKit_PEOE_VSA12']"
4,0.8961018317818862,0.8331732079398334,0.09301775182529787,"['Mordred_ATSC1v', 'Mordred_MATS4s', 'RDKit_PEOE_VSA12', 'RDKit_VSA_EState6']"
5,0.9089493731192586,0.8602784197256694,0.1043782995333262,"['Mordred_ATSC1v', 'Mordred_ATSC5dv', 'Mordred_MATS4s', 'RDKit_PEOE_VSA12', 'RDKit_VSA_EState6']"
6,0.9272906291407358,0.8923182411854509,0.07554856391061962,"['Mordred_AATS4se', 'Mordred_ATSC1v', 'Mordred_ATSC5dv', 'Mordred_MATS4s', 'RDKit_PEOE_VSA12', 'RDKit_VSA_EState6']"
7,0.9549533507293742,0.910458559266632,0.07409923013272254,"['Mordred_AATS4se', 'Mordred_ATSC1v', 'Mordred_ATSC3p', 'Mordred_ATSC5dv', 'Mordred_MATS4s', 'RDKit_PEOE_VSA12', 'RDKit_VSA_EState6']"
8,0.9610986658906312,0.9189760294181918,0.07579968038456783,"['Mordred_AATS4se', 'Mordred_ATSC1v', 'Mordred_ATSC3p', 'Mordred_ATSC5dv', 'Mordred_MATS4s', 'Mordred_TIC1', 'RDKit_PEOE_VSA12', 'RDKit_VSA_EState6']"
9,0.9673880064916224,0.9334375791666238,0.07066999252996321,"['Mordred_AATS4se', 'Mordred_ATSC1v', 'Mordred_ATSC3p', 'Mordred_ATSC5dv', 'Mordred_MATS4s', 'Mordred_TIC1', 'Mordred_Xpc-6dv', 'RDKit_PEOE_VSA12', 'RDKit_VSA_EState6']"
10,0.9676708597877575,0.9346013928661303,0.07066561602276261,"['Mordred_AATS4se', 'Mordred_ATSC1v', 'Mordred_ATSC3p', 'Mordred_ATSC5dv', 'Mordred_MATS4s', 'Mordred_PEOE_VSA10', 'Mordred_TIC1', 'Mordred_Xpc-6dv', 'RDKit_PEOE_VSA12', 'RDKit_VSA_EState6']"
