rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9859355320798375,0.809871387300455,0.1376750920143754,0.0,0.0,0.0,0.0,0.17606414477938248,True
2,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'rbf'}",0.994717856244843,0.8095987778410256,0.13505622786558713,0.0,0.0,0.0,0.0,0.18511907840381736,False
3,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9858500170061447,0.8075330767607447,0.1405733679383126,0.0,0.0,0.0,0.0,0.1783169402454,False
4,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 'auto', 'kernel': 'rbf'}",0.9945604160019694,0.8068045655518544,0.13949821203251803,0.0,0.0,0.0,0.0,0.187755850450115,False
5,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9807736935493742,0.784050671415845,0.1322445646385388,0.0,0.0,0.0,0.0,0.1967230221335292,False
6,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 0.1, 'kernel': 'rbf'}",0.9858198104611244,0.7806552626184224,0.13859918782782846,0.0,0.0,0.0,0.0,0.205164547842702,False
7,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.9523004909986093,0.77137925526605,0.16774263901196007,0.0,0.0,0.0,0.0,0.18092123573255925,False
8,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",0.9522130839840421,0.7669290873087107,0.17054569183332796,0.0,0.0,0.0,0.0,0.18528399667533146,False
9,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}",0.9465566063777746,0.714431410019785,0.1800501775023643,0.0,0.0,0.0,0.0,0.23212519635798956,False
10,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 0.01, 'kernel': 'rbf'}",0.7989103671762275,0.5226322550232394,0.21266808939930928,0.0,0.0,0.0,0.0,0.27627811215298814,False
11,"{'C': 0.3, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'rbf'}",0.783448120247741,0.5104270386288831,0.23077336762508047,0.0,0.0,0.0,0.0,0.27302108161885796,False
12,"{'C': 0.3, 'epsilon': 0.05, 'gamma': 'auto', 'kernel': 'rbf'}",0.7820987633927846,0.5079680107084968,0.23377054866192679,0.0,0.0,0.0,0.0,0.27413075268428777,False
13,"{'C': 0.3, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'linear'}",0.7540856220692888,0.49838371812976046,0.2285917582398458,0.0,0.0,0.0,0.0,0.2557019039395283,False
14,"{'C': 0.3, 'epsilon': 0.05, 'gamma': 'auto', 'kernel': 'linear'}",0.7540856220692888,0.49838371812976046,0.2285917582398458,0.0,0.0,0.0,0.0,0.2557019039395283,False
15,"{'C': 0.3, 'epsilon': 0.05, 'gamma': 0.01, 'kernel': 'linear'}",0.7540856220692888,0.49838371812976046,0.2285917582398458,0.0,0.0,0.0,0.0,0.2557019039395283,False
16,"{'C': 0.3, 'epsilon': 0.05, 'gamma': 0.1, 'kernel': 'linear'}",0.7540856220692888,0.49838371812976046,0.2285917582398458,0.0,0.0,0.0,0.0,0.2557019039395283,False
17,"{'C': 0.3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7765087972232688,0.4722662534132101,0.24604691256980885,0.0,0.0,0.0,0.0,0.3042425438100587,False
18,"{'C': 0.3, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7748263254310083,0.46714018429671844,0.25058006946683553,0.0,0.0,0.0,0.0,0.3076861411342898,False
19,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8091249185758329,0.4647802158000219,0.29537155684684624,0.0,0.0,0.0,0.0,0.34434470277581103,False
20,"{'C': 0.3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.759253101808796,0.41477583315097677,0.33479994848949396,0.0,0.0,0.0,0.0,0.34447726865781925,False
21,"{'C': 0.3, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.759253101808796,0.41477583315097677,0.33479994848949396,0.0,0.0,0.0,0.0,0.34447726865781925,False
22,"{'C': 0.3, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.759253101808796,0.41477583315097677,0.33479994848949396,0.0,0.0,0.0,0.0,0.34447726865781925,False
23,"{'C': 0.3, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.759253101808796,0.41477583315097677,0.33479994848949396,0.0,0.0,0.0,0.0,0.34447726865781925,False
24,"{'C': 0.3, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.7495820708062889,0.4135492240100535,0.24402988322971725,0.0,0.0,0.0,0.0,0.3360328467962354,False
25,"{'C': 0.3, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",0.7478625773415255,0.40902438352762205,0.24955586339241273,0.0,0.0,0.0,0.0,0.33883819381390345,False
26,"{'C': 0.3, 'epsilon': 0.05, 'gamma': 0.1, 'kernel': 'rbf'}",0.7092849974864202,0.40756261196167565,0.2832318945241196,0.0,0.0,0.0,0.0,0.3017223855247445,False
27,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'linear'}",0.6912872464501116,0.39328289478090683,0.3251147992651027,0.0,0.0,0.0,0.0,0.2980043516692048,False
28,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 'auto', 'kernel': 'linear'}",0.6912872464501116,0.39328289478090683,0.3251147992651027,0.0,0.0,0.0,0.0,0.2980043516692048,False
29,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 0.01, 'kernel': 'linear'}",0.6912872464501116,0.39328289478090683,0.3251147992651027,0.0,0.0,0.0,0.0,0.2980043516692048,False
30,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 0.1, 'kernel': 'linear'}",0.6912872464501116,0.39328289478090683,0.3251147992651027,0.0,0.0,0.0,0.0,0.2980043516692048,False
31,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}",0.8010103024142058,0.3926917552021442,0.4007528630076837,0.0,0.0,0.0,0.0,0.40831854721206157,False
32,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'linear'}",0.7126353940277974,0.3900859266113093,0.32172095417569924,0.0,0.0,0.0,0.0,0.3225494674164881,False
33,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'linear'}",0.7126353940277974,0.3900859266113093,0.32172095417569924,0.0,0.0,0.0,0.0,0.3225494674164881,False
34,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'linear'}",0.7126353940277974,0.3900859266113093,0.32172095417569924,0.0,0.0,0.0,0.0,0.3225494674164881,False
35,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'linear'}",0.7126353940277974,0.3900859266113093,0.32172095417569924,0.0,0.0,0.0,0.0,0.3225494674164881,False
36,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.6982450869938305,0.3880609545145258,0.33538889793808213,0.0,0.0,0.0,0.0,0.31018413247930465,False
37,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.6982450869938305,0.3880609545145258,0.33538889793808213,0.0,0.0,0.0,0.0,0.31018413247930465,False
38,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.6982450869938305,0.3880609545145258,0.33538889793808213,0.0,0.0,0.0,0.0,0.31018413247930465,False
39,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.6982450869938305,0.3880609545145258,0.33538889793808213,0.0,0.0,0.0,0.0,0.31018413247930465,False
40,"{'C': 0.3, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'linear'}",0.762520610407468,0.37789124549371417,0.36811333931703566,0.0,0.0,0.0,0.0,0.3846293649137538,False
41,"{'C': 0.3, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'linear'}",0.762520610407468,0.37789124549371417,0.36811333931703566,0.0,0.0,0.0,0.0,0.3846293649137538,False
42,"{'C': 0.3, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'linear'}",0.762520610407468,0.37789124549371417,0.36811333931703566,0.0,0.0,0.0,0.0,0.3846293649137538,False
43,"{'C': 0.3, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'linear'}",0.762520610407468,0.37789124549371417,0.36811333931703566,0.0,0.0,0.0,0.0,0.3846293649137538,False
44,"{'C': 0.3, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.6907835315867236,0.3571127395200589,0.29291890939758625,0.0,0.0,0.0,0.0,0.33367079206666467,False
45,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'linear'}",0.771689845284395,0.3207183532841695,0.3546152159514449,0.0,0.0,0.0,0.0,0.4509714920002255,False
46,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 'auto', 'kernel': 'linear'}",0.771689845284395,0.3207183532841695,0.3546152159514449,0.0,0.0,0.0,0.0,0.4509714920002255,False
47,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 0.01, 'kernel': 'linear'}",0.771689845284395,0.3207183532841695,0.3546152159514449,0.0,0.0,0.0,0.0,0.4509714920002255,False
48,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 0.1, 'kernel': 'linear'}",0.771689845284395,0.3207183532841695,0.3546152159514449,0.0,0.0,0.0,0.0,0.4509714920002255,False
49,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.7710982206807847,0.3005151710614573,0.3741848246349084,0.0,0.0,0.0,0.0,0.4705830496193274,False
50,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.7710982206807847,0.3005151710614573,0.3741848246349084,0.0,0.0,0.0,0.0,0.4705830496193274,False
51,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.7710982206807847,0.3005151710614573,0.3741848246349084,0.0,0.0,0.0,0.0,0.4705830496193274,False
52,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.7710982206807847,0.3005151710614573,0.3741848246349084,0.0,0.0,0.0,0.0,0.4705830496193274,False
53,"{'C': 0.3, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}",0.6493153863423511,0.28838490669567995,0.31359337764677975,0.0,0.0,0.0,0.0,0.36093047964667113,False
54,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'linear'}",0.783005861981517,0.09655059701384787,0.6024340953825391,0.0,0.0,0.0,0.0,0.6864552649676692,False
55,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'linear'}",0.783005861981517,0.09655059701384787,0.6024340953825391,0.0,0.0,0.0,0.0,0.6864552649676692,False
56,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'linear'}",0.783005861981517,0.09655059701384787,0.6024340953825391,0.0,0.0,0.0,0.0,0.6864552649676692,False
57,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'linear'}",0.783005861981517,0.09655059701384787,0.6024340953825391,0.0,0.0,0.0,0.0,0.6864552649676692,False
58,"{'C': 0.3, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'poly'}",0.4764427827200358,0.002465489961324563,0.3094562270249159,0.0,0.0,0.0,0.0,0.47397729275871125,False
59,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",0.4211423452481494,-0.0018642501966557256,0.39524204290843173,0.0,0.0,0.0,0.0,0.4230065954448051,False
60,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.4212335654647886,-0.0037551003078182045,0.39515172431532597,0.0,0.0,0.0,0.0,0.4249886657726068,False
61,"{'C': 0.3, 'epsilon': 0.05, 'gamma': 'auto', 'kernel': 'poly'}",0.4990638997166187,-0.03399039587809496,0.1653776557703096,0.0,0.0,0.0,0.0,0.5330542955947136,False
62,"{'C': 0.3, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'poly'}",0.49452483319467594,-0.0714765882972904,0.2420095076649947,0.0,0.0,0.0,0.0,0.5660014214919663,False
63,"{'C': 0.3, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'poly'}",0.47990727803091315,-0.08470936056710661,0.3468021112141844,0.0,0.0,0.0,0.0,0.5646166385980198,False
64,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.42662151766566747,-0.11340058379290444,0.5728901282834449,0.0,0.0,0.0,0.0,0.5400221014585719,False
65,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.42723180000506644,-0.1164573917880111,0.5724654951217819,0.0,0.0,0.0,0.0,0.5436891917930775,False
66,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}",0.358770289353546,-0.12449382357739054,0.48097457599640675,0.0,0.0,0.0,0.0,0.4832641129309365,False
67,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 'auto', 'kernel': 'rbf'}",0.43062660337438974,-0.13240138789440234,0.6210333904428711,0.0,0.0,0.0,0.0,0.5630279912687921,False
