rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9868862401747392,0.8494455133354734,0.06205536034564578,0.0,0.0,0.0,0.0,0.1374407268392659,True
2,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9868238598730267,0.8438494288023455,0.059128356644892945,0.0,0.0,0.0,0.0,0.1429744310706812,False
3,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 'auto', 'kernel': 'rbf'}",0.9962075719769963,0.8409949005796189,0.05926969668984258,0.0,0.0,0.0,0.0,0.15521267139737738,False
4,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'rbf'}",0.9962048327315106,0.8341622616612833,0.05638775783837084,0.0,0.0,0.0,0.0,0.16204257107022735,False
5,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9870037210432179,0.8304949733222848,0.10868597597122227,0.0,0.0,0.0,0.0,0.15650874772093304,False
6,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 0.1, 'kernel': 'rbf'}",0.99468284073462,0.8204093790043604,0.10410825993220907,0.0,0.0,0.0,0.0,0.1742734617302596,False
7,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",0.9522554361867639,0.8163685744649868,0.09567115280544544,0.0,0.0,0.0,0.0,0.1358868617217771,False
8,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.9525890757611712,0.812585014011004,0.08985642991455557,0.0,0.0,0.0,0.0,0.14000406175016722,False
9,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}",0.954612510546087,0.7856596105965167,0.15795599630002832,0.0,0.0,0.0,0.0,0.1689528999495703,False
10,"{'C': 0.3, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'rbf'}",0.8283779515645813,0.5324308592433489,0.19360505692533259,0.0,0.0,0.0,0.0,0.2959470923212324,False
11,"{'C': 0.3, 'epsilon': 0.05, 'gamma': 'auto', 'kernel': 'rbf'}",0.8266208112325659,0.529716359977854,0.20049992650409007,0.0,0.0,0.0,0.0,0.2969044512547119,False
12,"{'C': 0.3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8276322085480601,0.52109742018711,0.22840980409391837,0.0,0.0,0.0,0.0,0.30653478836095005,False
13,"{'C': 0.3, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.8257380006633678,0.5187722206409958,0.2334003299217701,0.0,0.0,0.0,0.0,0.30696578002237196,False
14,"{'C': 0.3, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.8090899807269041,0.5143329539050081,0.20620569571648692,0.0,0.0,0.0,0.0,0.294757026821896,False
15,"{'C': 0.3, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",0.8079221621430674,0.5128566653799291,0.21638599700605535,0.0,0.0,0.0,0.0,0.2950654967631383,False
16,"{'C': 0.3, 'epsilon': 0.05, 'gamma': 0.1, 'kernel': 'rbf'}",0.768212356720946,0.43762550742671574,0.25105506538609984,0.0,0.0,0.0,0.0,0.33058684929423027,False
17,"{'C': 0.3, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7650317247501409,0.41463359979147213,0.2712231082565939,0.0,0.0,0.0,0.0,0.3503981249586688,False
18,"{'C': 0.3, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}",0.7480579609884057,0.3796031586439167,0.32683785861800096,0.0,0.0,0.0,0.0,0.368454802344489,False
