n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features
1,0.7223280804468315,0.6059056400688816,0.1796345398498936,['RDKit_SPS']
2,0.9147207180017243,0.758217668514651,0.18120722915772491,"['Mordred_GATS4dv', 'RDKit_SPS']"
3,0.9650844648033667,0.8456948390086811,0.06296340435227303,"['Mordred_GATS2Z', 'Mordred_GATS4dv', 'RDKit_SPS']"
4,0.9742654682124458,0.8664983036050712,0.05453754016521965,"['Mordred_AXp-0dv', 'Mordred_GATS2Z', 'Mordred_GATS4dv', 'RDKit_SPS']"
5,0.978506079984943,0.8889951450103102,0.049173063182201854,"['Mordred_ATSC4c', 'Mordred_AXp-0dv', 'Mordred_GATS2Z', 'Mordred_GATS4dv', 'RDKit_SPS']"
6,0.980080283601245,0.894021326562318,0.05284269662863519,"['Mordred_AATS3dv', 'Mordred_ATSC4c', 'Mordred_AXp-0dv', 'Mordred_GATS2Z', 'Mordred_GATS4dv', 'RDKit_SPS']"
7,0.9787350165529279,0.9016207880732183,0.05868866573547856,"['Mordred_AATS3dv', 'Mordred_ATSC4c', 'Mordred_AXp-0dv', 'Mordred_GATS2Z', 'Mordred_GATS4dv', 'Mordred_SRW05', 'RDKit_SPS']"
8,0.9765897816463093,0.9053818693961609,0.044098759322202745,"['Mordred_AATS3dv', 'Mordred_ATSC4c', 'Mordred_AXp-0dv', 'Mordred_GATS2Z', 'Mordred_GATS4dv', 'Mordred_GATS4se', 'Mordred_SRW05', 'RDKit_SPS']"
9,0.9778394068241096,0.9117531780556787,0.05181261131703565,"['Mordred_AATS3dv', 'Mordred_ATSC4c', 'Mordred_AXp-0dv', 'Mordred_GATS2Z', 'Mordred_GATS4dv', 'Mordred_GATS4se', 'Mordred_SRW05', 'RDKit_HallKierAlpha', 'RDKit_SPS']"
10,0.9778801887731091,0.9138819590525836,0.044008289577910094,"['Mordred_AATS3dv', 'Mordred_ATSC4c', 'Mordred_AXp-0dv', 'Mordred_GATS2Z', 'Mordred_GATS4dv', 'Mordred_GATS4se', 'Mordred_SRW05', 'Mordred_SdssC', 'RDKit_HallKierAlpha', 'RDKit_SPS']"
