rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9649552792957561,0.49376915640235375,0.3899011213072132,0.0,0.0,0.0,0.0,0.47118612289340234,True
2,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9649552792957559,0.49376915640235364,0.3899011213072132,0.0,0.0,0.0,0.0,0.4711861228934022,False
3,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.6, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.907504872077399,0.4719505963383862,0.3605496691783226,0.0,0.0,0.0,0.0,0.43555427573901284,False
4,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': 0.6, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.907504872077399,0.471950596338386,0.3605496691783232,0.0,0.0,0.0,0.0,0.43555427573901306,False
5,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.6, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9080242693624111,0.46652625563282885,0.35888759408001636,0.0,0.0,0.0,0.0,0.44149801372958225,False
6,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': 0.6, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9080242693624111,0.46652625563282857,0.3588875940800165,0.0,0.0,0.0,0.0,0.44149801372958253,False
7,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9629738034967271,0.4602643515215264,0.4255017070186402,0.0,0.0,0.0,0.0,0.5027094519752007,False
8,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9629738034967271,0.4602643515215264,0.4255017070186402,0.0,0.0,0.0,0.0,0.5027094519752007,False
9,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8722864923165716,0.45226919534486887,0.3465327613742313,0.0,0.0,0.0,0.0,0.42001729697170276,False
10,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8722864923165716,0.4522691953448687,0.34653276137423156,0.0,0.0,0.0,0.0,0.4200172969717029,False
11,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.872852049134976,0.45166820436227234,0.3151955794876319,0.0,0.0,0.0,0.0,0.4211838447727037,False
12,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.872852049134976,0.45166820436227206,0.31519557948763227,0.0,0.0,0.0,0.0,0.421183844772704,False
13,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': 0.6, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.844180013263949,0.4143819906831542,0.3765088323340927,0.0,0.0,0.0,0.0,0.4297980225807948,False
14,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': 0.6, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8441800132639488,0.4143819906831541,0.37650883233409266,0.0,0.0,0.0,0.0,0.42979802258079464,False
15,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': 0.6, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8404325347711085,0.4058712958905145,0.35471614291958325,0.0,0.0,0.0,0.0,0.43456123888059395,False
16,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': 0.6, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8404325347711084,0.40587129589051435,0.3547161429195837,0.0,0.0,0.0,0.0,0.434561238880594,False
17,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 200}",-0.00014277927358188335,-0.5159564001603008,0.5275003074125864,0.0,0.0,0.0,0.0,0.5158136208867189,False
18,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': 1.0, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 200}",-0.00014277927358188335,-0.5159564001603008,0.5275003074125865,0.0,0.0,0.0,0.0,0.5158136208867189,False
