descriptor,reason,r
Mordred_ABC,nonnumeric,
Mordred_ABCGG,nonnumeric,
Mordred_DetourIndex,nonnumeric,
Mordred_LogEE_Dt,nonnumeric,
Mordred_MAXaaN,nonnumeric,
Mordred_MAXaaNH,nonnumeric,
Mordred_MAXaaO,nonnumeric,
Mordred_MAXaaS,nonnumeric,
Mordred_MAXaaSe,nonnumeric,
Mordred_MAXaaaC,nonnumeric,
Mordred_MAXaasN,nonnumeric,
Mordred_MAXdCH2,nonnumeric,
Mordred_MAXdNH,nonnumeric,
Mordred_MAXdS,nonnumeric,
Mordred_MAXdSe,nonnumeric,
Mordred_MAXddC,nonnumeric,
Mordred_MAXddsN,nonnumeric,
Mordred_MAXddssS,nonnumeric,
Mordred_MAXddssSe,nonnumeric,
Mordred_MAXdsCH,nonnumeric,
Mordred_MAXdsN,nonnumeric,
Mordred_MAXdssS,nonnumeric,
Mordred_MAXdssSe,nonnumeric,
Mordred_MAXdsssP,nonnumeric,
Mordred_MAXsAsH2,nonnumeric,
Mordred_MAXsGeH3,nonnumeric,
Mordred_MAXsI,nonnumeric,
Mordred_MAXsLi,nonnumeric,
Mordred_MAXsNH3,nonnumeric,
Mordred_MAXsPH2,nonnumeric,
Mordred_MAXsPbH3,nonnumeric,
Mordred_MAXsSH,nonnumeric,
Mordred_MAXsSeH,nonnumeric,
Mordred_MAXsSiH3,nonnumeric,
Mordred_MAXsSnH3,nonnumeric,
Mordred_MAXssAsH,nonnumeric,
Mordred_MAXssBH,nonnumeric,
Mordred_MAXssBe,nonnumeric,
Mordred_MAXssGeH2,nonnumeric,
Mordred_MAXssNH2,nonnumeric,
Mordred_MAXssPH,nonnumeric,
Mordred_MAXssPbH2,nonnumeric,
Mordred_MAXssS,nonnumeric,
Mordred_MAXssSe,nonnumeric,
Mordred_MAXssSiH2,nonnumeric,
Mordred_MAXssSnH2,nonnumeric,
Mordred_MAXsssAs,nonnumeric,
Mordred_MAXsssB,nonnumeric,
Mordred_MAXsssGeH,nonnumeric,
Mordred_MAXsssNH,nonnumeric,
Mordred_MAXsssP,nonnumeric,
Mordred_MAXsssPbH,nonnumeric,
Mordred_MAXsssSiH,nonnumeric,
Mordred_MAXsssSnH,nonnumeric,
Mordred_MAXsssdAs,nonnumeric,
Mordred_MAXssssB,nonnumeric,
Mordred_MAXssssBe,nonnumeric,
Mordred_MAXssssGe,nonnumeric,
Mordred_MAXssssN,nonnumeric,
Mordred_MAXssssPb,nonnumeric,
Mordred_MAXssssSi,nonnumeric,
Mordred_MAXssssSn,nonnumeric,
Mordred_MAXsssssAs,nonnumeric,
Mordred_MAXsssssP,nonnumeric,
Mordred_MAXtCH,nonnumeric,
Mordred_MAXtN,nonnumeric,
Mordred_MAXtsC,nonnumeric,
Mordred_MDEC-24,nonnumeric,
Mordred_MDEC-33,nonnumeric,
Mordred_MDEC-34,nonnumeric,
Mordred_MDEC-44,nonnumeric,
Mordred_MDEN-11,nonnumeric,
Mordred_MDEN-12,nonnumeric,
Mordred_MDEN-13,nonnumeric,
Mordred_MDEN-22,nonnumeric,
Mordred_MDEN-23,nonnumeric,
Mordred_MDEN-33,nonnumeric,
Mordred_MDEO-12,nonnumeric,
Mordred_MDEO-22,nonnumeric,
Mordred_MINaaN,nonnumeric,
Mordred_MINaaNH,nonnumeric,
Mordred_MINaaO,nonnumeric,
Mordred_MINaaS,nonnumeric,
Mordred_MINaaSe,nonnumeric,
Mordred_MINaaaC,nonnumeric,
Mordred_MINaasN,nonnumeric,
Mordred_MINdCH2,nonnumeric,
Mordred_MINdNH,nonnumeric,
Mordred_MINdS,nonnumeric,
Mordred_MINdSe,nonnumeric,
Mordred_MINddC,nonnumeric,
Mordred_MINddsN,nonnumeric,
Mordred_MINddssS,nonnumeric,
Mordred_MINddssSe,nonnumeric,
Mordred_MINdsCH,nonnumeric,
Mordred_MINdsN,nonnumeric,
Mordred_MINdssS,nonnumeric,
Mordred_MINdssSe,nonnumeric,
Mordred_MINdsssP,nonnumeric,
Mordred_MINsAsH2,nonnumeric,
Mordred_MINsGeH3,nonnumeric,
Mordred_MINsI,nonnumeric,
Mordred_MINsLi,nonnumeric,
Mordred_MINsNH3,nonnumeric,
Mordred_MINsPH2,nonnumeric,
Mordred_MINsPbH3,nonnumeric,
Mordred_MINsSH,nonnumeric,
Mordred_MINsSeH,nonnumeric,
Mordred_MINsSiH3,nonnumeric,
Mordred_MINsSnH3,nonnumeric,
Mordred_MINssAsH,nonnumeric,
Mordred_MINssBH,nonnumeric,
Mordred_MINssBe,nonnumeric,
Mordred_MINssGeH2,nonnumeric,
Mordred_MINssNH2,nonnumeric,
Mordred_MINssPH,nonnumeric,
Mordred_MINssPbH2,nonnumeric,
Mordred_MINssS,nonnumeric,
Mordred_MINssSe,nonnumeric,
Mordred_MINssSiH2,nonnumeric,
Mordred_MINssSnH2,nonnumeric,
Mordred_MINsssAs,nonnumeric,
Mordred_MINsssB,nonnumeric,
Mordred_MINsssGeH,nonnumeric,
