rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9667078996547321,0.6539199785304073,0.15125905891026048,0.0,0.0,0.0,0.0,0.31278792112432485,True
2,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9667078996547321,0.6539199785304073,0.15125905891026054,0.0,0.0,0.0,0.0,0.31278792112432485,False
3,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9106443714350867,0.6313138742684092,0.1572609828713853,0.0,0.0,0.0,0.0,0.27933049716667746,False
4,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9106443714350867,0.631313874268409,0.1572609828713854,0.0,0.0,0.0,0.0,0.2793304971666777,False
5,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9667312350919914,0.6297772184221853,0.1814202621622531,0.0,0.0,0.0,0.0,0.3369540166698062,False
6,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9667312350919914,0.629777218422185,0.1814202621622534,0.0,0.0,0.0,0.0,0.3369540166698064,False
7,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9110688196173955,0.6206087659372701,0.1927184295786015,0.0,0.0,0.0,0.0,0.2904600536801254,False
8,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9110688196173955,0.6206087659372699,0.19271842957860175,0.0,0.0,0.0,0.0,0.2904600536801256,False
9,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8861531940227702,0.5372443795838375,0.2431087228548286,0.0,0.0,0.0,0.0,0.3489088144389326,False
10,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8861531940227702,0.5372443795838374,0.2431087228548286,0.0,0.0,0.0,0.0,0.34890881443893274,False
11,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8859895133032015,0.5232876611190598,0.2348887751176487,0.0,0.0,0.0,0.0,0.36270185218414175,False
12,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8859895133032012,0.5232876611190591,0.23488877511764888,0.0,0.0,0.0,0.0,0.3627018521841421,False
13,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8605687034046372,0.519046266121898,0.23780882693058408,0.0,0.0,0.0,0.0,0.34152243728273923,False
14,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8605687034046372,0.519046266121898,0.23780882693058403,0.0,0.0,0.0,0.0,0.34152243728273923,False
15,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8605935638074269,0.5094761831081908,0.23683429984485027,0.0,0.0,0.0,0.0,0.35111738069923615,False
16,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8605935638074269,0.5094761831081908,0.23683429984485013,0.0,0.0,0.0,0.0,0.35111738069923615,False
17,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 200}",0.38625272617986894,0.04515773583875578,0.32719256673280855,0.0,0.0,0.0,0.0,0.3410949903411132,False
18,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 200}",0.38625272617986894,0.04515773583875562,0.3271925667328088,0.0,0.0,0.0,0.0,0.34109499034111335,False
19,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 200}",0.38625272617986905,0.04515773583875522,0.32719256673280855,0.0,0.0,0.0,0.0,0.34109499034111385,False
20,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 200}",0.38625272617986905,0.04515773583875493,0.32719256673280955,0.0,0.0,0.0,0.0,0.3410949903411141,False
21,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 200}",0.3252253379727727,-0.03666409683369445,0.35171661320581415,0.0,0.0,0.0,0.0,0.3618894348064671,False
22,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 200}",0.3252253379727724,-0.03666409683369458,0.3517166132058142,0.0,0.0,0.0,0.0,0.361889434806467,False
23,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 200}",0.3252253379727727,-0.03666409683369478,0.35171661320581415,0.0,0.0,0.0,0.0,0.36188943480646746,False
24,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 200}",0.3252253379727728,-0.03666409683369478,0.35171661320581415,0.0,0.0,0.0,0.0,0.36188943480646757,False
25,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 200}",0.32522533797277287,-0.03666409683369483,0.351716613205814,0.0,0.0,0.0,0.0,0.3618894348064677,False
26,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 200}",0.3252253379727727,-0.03666409683369485,0.351716613205814,0.0,0.0,0.0,0.0,0.36188943480646757,False
27,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 200}",0.3252253379727727,-0.03666409683369507,0.3517166132058139,0.0,0.0,0.0,0.0,0.3618894348064678,False
28,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 200}",0.3252253379727727,-0.03666409683369516,0.3517166132058139,0.0,0.0,0.0,0.0,0.36188943480646785,False
29,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 200}",0.3900117424633704,-0.053149399340235305,0.45406308850718524,0.0,0.0,0.0,0.0,0.4431611418036057,False
30,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 200}",0.39001174246337034,-0.05314939934023535,0.4540630885071853,0.0,0.0,0.0,0.0,0.44316114180360566,False
31,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 200}",0.3900117424633704,-0.05314939934023535,0.4540630885071853,0.0,0.0,0.0,0.0,0.4431611418036057,False
32,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 200}",0.3900117424633704,-0.05314939934023564,0.45406308850718513,0.0,0.0,0.0,0.0,0.44316114180360605,False
33,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 200}",0.35101451874509115,-0.07920828862579783,0.4334675989263112,0.0,0.0,0.0,0.0,0.43022280737088897,False
34,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 200}",0.35101451874509093,-0.07920828862579801,0.43346759892631126,0.0,0.0,0.0,0.0,0.4302228073708889,False
35,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 200}",0.3510145187450909,-0.07920828862579832,0.4334675989263124,0.0,0.0,0.0,0.0,0.4302228073708892,False
36,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 200}",0.3510145187450909,-0.0792082886257984,0.4334675989263126,0.0,0.0,0.0,0.0,0.43022280737088925,False
37,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 200}",0.35101451874509093,-0.07920828862579843,0.4334675989263125,0.0,0.0,0.0,0.0,0.43022280737088936,False
38,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 200}",0.35101451874509104,-0.07920828862579854,0.4334675989263125,0.0,0.0,0.0,0.0,0.4302228073708896,False
39,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 200}",0.35101451874509093,-0.07920828862579868,0.43346759892631237,0.0,0.0,0.0,0.0,0.4302228073708896,False
40,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': None, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 200}",0.3510145187450907,-0.07920828862579891,0.4334675989263122,0.0,0.0,0.0,0.0,0.43022280737088964,False
41,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 200}",-0.0012242507615332077,-0.5135122005544815,0.5151725029742771,0.0,0.0,0.0,0.0,0.5122879497929483,False
42,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 200}",-0.0012242507615332077,-0.5135122005544819,0.5151725029742785,0.0,0.0,0.0,0.0,0.5122879497929487,False
43,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 200}",-0.0012242507615332077,-0.5135122005544822,0.5151725029742786,0.0,0.0,0.0,0.0,0.512287949792949,False
44,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 200}",-0.0012242507615332077,-0.5135122005544824,0.5151725029742786,0.0,0.0,0.0,0.0,0.5122879497929492,False
45,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 200}",-0.0012242507615332077,-0.5135122005544824,0.5151725029742786,0.0,0.0,0.0,0.0,0.5122879497929492,False
46,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 200}",-0.0012242507615332077,-0.5135122005544824,0.5151725029742786,0.0,0.0,0.0,0.0,0.5122879497929492,False
47,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': 0.5, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 200}",-0.0012242507615332077,-0.5135122005544824,0.5151725029742786,0.0,0.0,0.0,0.0,0.5122879497929492,False
48,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 2, 'max_features': 0.5, 'max_samples': 0.5, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 200}",-0.0012242507615332077,-0.5135122005544824,0.5151725029742786,0.0,0.0,0.0,0.0,0.5122879497929492,False
49,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 200}",-0.0012242507615332077,-0.5135122005544824,0.5151725029742786,0.0,0.0,0.0,0.0,0.5122879497929492,False
50,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': 0.5, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 200}",-0.0012242507615332077,-0.5135122005544824,0.5151725029742786,0.0,0.0,0.0,0.0,0.5122879497929492,False
51,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': 0.5, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 200}",-0.0012242507615332077,-0.5135122005544824,0.5151725029742786,0.0,0.0,0.0,0.0,0.5122879497929492,False
52,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.5, 'max_samples': 0.5, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 200}",-0.0012242507615332077,-0.5135122005544824,0.5151725029742786,0.0,0.0,0.0,0.0,0.5122879497929492,False
