n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features
1,0.9735342417061612,0.68771350878298,0.15918700111550607,['Mordred_GATS1v']
2,0.975376682464455,0.7516978265415112,0.1498290021347956,"['Mordred_GATS1v', 'Mordred_GeomRadius']"
3,0.9767277488151658,0.7809007429816015,0.11397591426113382,"['Mordred_EState_VSA10', 'Mordred_GATS1v', 'Mordred_GeomRadius']"
4,0.9750731279620852,0.776762209730993,0.13979592929811616,"['Mordred_EState_VSA10', 'Mordred_EState_VSA7', 'Mordred_GATS1v', 'Mordred_GeomRadius']"
5,0.9757456398104267,0.7759511910821535,0.1362386709882015,"['Mordred_AATS4dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA7', 'Mordred_GATS1v', 'Mordred_GeomRadius']"
6,0.9770746682464457,0.7772296083544706,0.1263123733748763,"['Mordred_AATS4dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA7', 'Mordred_GATS1v', 'Mordred_GeomRadius', 'RDKit_VSA_EState6']"
7,0.9773108293838867,0.7898962893149896,0.13369382234727253,"['Mordred_AATS4dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA7', 'Mordred_GATS1v', 'Mordred_GeomRadius', 'Mordred_VSA_EState5', 'RDKit_VSA_EState6']"
8,0.9720211611374407,0.7702608201095243,0.12857774640436687,"['Mordred_AATS4dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA7', 'Mordred_GATS1v', 'Mordred_GATS3v', 'Mordred_GeomRadius', 'Mordred_VSA_EState5', 'RDKit_VSA_EState6']"
9,0.9754049763033176,0.7940602107986233,0.11720128488347384,"['Mordred_AATS4dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA7', 'Mordred_ETA_shape_x', 'Mordred_GATS1v', 'Mordred_GATS3v', 'Mordred_GeomRadius', 'Mordred_VSA_EState5', 'RDKit_VSA_EState6']"
10,0.9726168246445498,0.8095083334477255,0.09953807917094581,"['Mordred_AATS4dv', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA7', 'Mordred_ETA_shape_x', 'Mordred_GATS1v', 'Mordred_GATS3v', 'Mordred_GeomRadius', 'Mordred_VSA_EState5', 'RDKit_VSA_EState6']"
11,0.9711127725118486,0.7961258331013135,0.10562821551572965,"['Mordred_AATS4dv', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA7', 'Mordred_ETA_shape_x', 'Mordred_GATS1v', 'Mordred_GATS3v', 'Mordred_GeomRadius', 'Mordred_VSA_EState5', 'RDKit_VSA_EState6', 'RDKit_fr_Al_OH']"
12,0.9702734834123223,0.7905615445862159,0.10340887926407388,"['Mordred_AATS4dv', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_EState_VSA7', 'Mordred_ETA_shape_x', 'Mordred_GATS1v', 'Mordred_GATS3v', 'Mordred_GeomRadius', 'Mordred_VSA_EState5', 'RDKit_VSA_EState6', 'RDKit_fr_Al_OH']"
13,0.966291018957346,0.7869543168860147,0.10178464107344548,"['Mordred_AATS4dv', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_EState_VSA7', 'Mordred_ETA_shape_x', 'Mordred_GATS1v', 'Mordred_GATS3v', 'Mordred_GeomRadius', 'Mordred_VSA_EState5', 'RDKit_VSA_EState6', 'RDKit_fr_Al_OH', 'RDKit_fr_Ar_OH']"
14,0.9734725355450237,0.7904112516141308,0.11398662916871223,"['Mordred_AATS4dv', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_EState_VSA7', 'Mordred_ETA_dEpsilon_B', 'Mordred_ETA_shape_x', 'Mordred_GATS1v', 'Mordred_GATS3v', 'Mordred_GeomRadius', 'Mordred_VSA_EState5', 'RDKit_VSA_EState6', 'RDKit_fr_Al_OH', 'RDKit_fr_Ar_OH']"
15,0.9684128436018958,0.7861045917430938,0.14873571294644353,"['Mordred_AATS4dv', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_EState_VSA7', 'Mordred_ETA_dEpsilon_B', 'Mordred_ETA_shape_x', 'Mordred_GATS1v', 'Mordred_GATS3v', 'Mordred_GeomRadius', 'Mordred_VSA_EState5', 'Mordred_nRing', 'RDKit_VSA_EState6', 'RDKit_fr_Al_OH', 'RDKit_fr_Ar_OH']"
16,0.9698668483412323,0.8012580442019542,0.13637103492202637,"['Mordred_AATS4dv', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_EState_VSA7', 'Mordred_ETA_dEpsilon_B', 'Mordred_ETA_shape_x', 'Mordred_GATS1v', 'Mordred_GATS3v', 'Mordred_GeomRadius', 'Mordred_SssNH', 'Mordred_VSA_EState5', 'Mordred_nRing', 'RDKit_VSA_EState6', 'RDKit_fr_Al_OH', 'RDKit_fr_Ar_OH']"
17,0.9678728436018956,0.790227065430033,0.16345908841577647,"['Mordred_AATS4dv', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_EState_VSA7', 'Mordred_ETA_dEpsilon_B', 'Mordred_ETA_shape_x', 'Mordred_GATS1v', 'Mordred_GATS3v', 'Mordred_GeomRadius', 'Mordred_SdssC', 'Mordred_SssNH', 'Mordred_VSA_EState5', 'Mordred_nRing', 'RDKit_VSA_EState6', 'RDKit_fr_Al_OH', 'RDKit_fr_Ar_OH']"
18,0.9712375355450238,0.7855054928001775,0.15663357410858061,"['Mordred_AATS4dv', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_EState_VSA7', 'Mordred_ETA_dEpsilon_B', 'Mordred_ETA_shape_x', 'Mordred_GATS1v', 'Mordred_GATS3v', 'Mordred_GeomRadius', 'Mordred_SdssC', 'Mordred_SssNH', 'Mordred_VSA_EState5', 'Mordred_nRing', 'RDKit_SlogP_VSA12', 'RDKit_VSA_EState6', 'RDKit_fr_Al_OH', 'RDKit_fr_Ar_OH']"
19,0.969511327014218,0.7955162273242544,0.1503716782018151,"['Mordred_AATS4dv', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_EState_VSA7', 'Mordred_ETA_dEpsilon_B', 'Mordred_ETA_shape_x', 'Mordred_GATS1v', 'Mordred_GATS3v', 'Mordred_GeomRadius', 'Mordred_MID_X', 'Mordred_SdssC', 'Mordred_SssNH', 'Mordred_VSA_EState5', 'Mordred_nRing', 'RDKit_SlogP_VSA12', 'RDKit_VSA_EState6', 'RDKit_fr_Al_OH', 'RDKit_fr_Ar_OH']"
20,0.9695851184834126,0.7975344563263608,0.15633757791575595,"['Mordred_AATS4dv', 'Mordred_AXp-2dv', 'Mordred_EState_VSA10', 'Mordred_EState_VSA2', 'Mordred_EState_VSA7', 'Mordred_ETA_dEpsilon_B', 'Mordred_ETA_shape_x', 'Mordred_GATS1v', 'Mordred_GATS3v', 'Mordred_GeomRadius', 'Mordred_MID_X', 'Mordred_SdssC', 'Mordred_SssNH', 'Mordred_VSA_EState1', 'Mordred_VSA_EState5', 'Mordred_nRing', 'RDKit_SlogP_VSA12', 'RDKit_VSA_EState6', 'RDKit_fr_Al_OH', 'RDKit_fr_Ar_OH']"
