compound_id,original_row_index,umap_1,umap_2,cluster,split
compound_0,0,23.208012,19.761103,4,test
compound_1,1,23.692957,19.385712,4,train
compound_2,2,21.35232,18.538795,7,train
compound_3,3,21.62744,20.724657,5,train
compound_4,4,23.108847,19.324121,4,train
compound_5,5,22.524046,19.631512,2,train
compound_6,6,21.993542,19.717445,2,train
compound_7,7,21.5232,20.003117,2,train
compound_8,8,20.888264,19.879393,0,test
compound_9,9,20.98941,20.279074,0,test
compound_10,10,23.200083,18.849712,4,train
compound_11,11,22.622648,20.458187,1,test
compound_12,12,22.134338,20.617905,5,train
compound_13,13,21.379597,19.207146,7,test
compound_14,14,21.866283,19.016903,7,train
compound_15,15,23.650438,20.423304,1,train
compound_16,16,23.170578,20.290611,1,train
compound_17,17,22.861122,20.010502,1,train
compound_18,18,23.013962,20.971046,1,train
compound_19,19,22.203545,21.156994,5,train
compound_20,20,20.993244,18.236969,3,train
compound_21,21,21.383894,18.014074,3,test
compound_22,22,20.948269,17.694544,3,train
compound_23,23,20.540625,17.712204,3,train
compound_24,24,20.32394,18.093645,3,train
compound_25,25,20.413477,18.996172,6,train
compound_26,26,20.37854,19.470625,6,train
