compound_id,split,leverage,standardized_residual,h_star,applicability_domain,in_domain
compound_79,train,0.038810910532408836,-0.9769707492782695,0.17647058823529413,in_domain,True
compound_67,train,0.08175962388264972,-0.19289161252623044,0.17647058823529413,in_domain,True
compound_38,train,0.030377880125702944,-1.0453232712334057,0.17647058823529413,in_domain,True
compound_20,train,0.028301192382752402,-1.1763310169224201,0.17647058823529413,in_domain,True
compound_2,train,0.02274211977639927,-1.917806426901259,0.17647058823529413,in_domain,True
compound_80,train,0.03586808265797918,-0.8676653183653549,0.17647058823529413,in_domain,True
compound_50,train,0.03456751508963632,-0.3970014941683297,0.17647058823529413,in_domain,True
compound_137,train,0.07091562509227847,-0.5734390291947471,0.17647058823529413,in_domain,True
compound_63,train,0.03138626131159253,-1.3554168751023394,0.17647058823529413,in_domain,True
compound_7,train,0.20605158995043749,-0.11557160952161442,0.17647058823529413,high_leverage,False
compound_76,train,0.025735512422680212,-1.1184021233388444,0.17647058823529413,in_domain,True
compound_31,train,0.04576560113444021,-0.7584841203591821,0.17647058823529413,in_domain,True
compound_101,train,0.07092681617843202,-0.4393514306787301,0.17647058823529413,in_domain,True
compound_18,train,0.06081395819975243,-0.3049114058807859,0.17647058823529413,in_domain,True
compound_121,train,0.09437751100698513,-0.41783564716437543,0.17647058823529413,in_domain,True
compound_128,train,0.04912016760294605,-0.4450552365129253,0.17647058823529413,in_domain,True
compound_10,train,0.04246954258117303,-0.6065156710374603,0.17647058823529413,in_domain,True
compound_72,train,0.070944369123823,-0.8075254252357541,0.17647058823529413,in_domain,True
compound_14,train,0.030594324305513954,-1.313802590222239,0.17647058823529413,in_domain,True
compound_51,train,0.05193523617092322,-0.5486717724525628,0.17647058823529413,in_domain,True
compound_59,train,0.03904621725639755,-1.0489840870850191,0.17647058823529413,in_domain,True
compound_77,train,0.030842362833162343,-1.121519415148505,0.17647058823529413,in_domain,True
compound_47,train,0.023514247554451275,-0.6752794801136819,0.17647058823529413,in_domain,True
compound_160,train,0.05380698923554293,-0.597745344340176,0.17647058823529413,in_domain,True
compound_183,train,0.12912160656625013,-0.12323023883952805,0.17647058823529413,in_domain,True
compound_48,train,0.09107277724246796,-0.2773135584316543,0.17647058823529413,in_domain,True
compound_127,train,0.04362828374036219,-0.38550671426009414,0.17647058823529413,in_domain,True
compound_168,train,0.051711280506148136,-0.43564738827266175,0.17647058823529413,in_domain,True
compound_9,train,0.042502921020936044,-0.244234431514373,0.17647058823529413,in_domain,True
compound_118,train,0.03849524168690551,-0.591378384174963,0.17647058823529413,in_domain,True
compound_75,train,0.03308200119990509,-1.0000333943005904,0.17647058823529413,in_domain,True
compound_35,train,0.08901271591906354,-0.2973579213103191,0.17647058823529413,in_domain,True
compound_133,train,0.23743616856097155,-0.02290500557029758,0.17647058823529413,high_leverage,False
compound_139,train,0.1715498320986185,-0.08341430941394498,0.17647058823529413,in_domain,True
compound_15,train,0.07093976705506509,-0.10962532525572097,0.17647058823529413,in_domain,True
compound_4,train,0.024582249605450156,-0.47626232314802075,0.17647058823529413,in_domain,True
compound_26,train,0.038690966543113214,-0.1883974458674844,0.17647058823529413,in_domain,True
compound_113,train,0.025954967442956986,-0.5110534073371482,0.17647058823529413,in_domain,True
compound_174,train,0.042754203823507225,-0.44273584700222035,0.17647058823529413,in_domain,True
compound_135,train,0.06277041157091581,-0.31393049980510174,0.17647058823529413,in_domain,True
compound_83,train,0.0298153542647376,-0.24897411433714026,0.17647058823529413,in_domain,True
compound_70,train,0.1801474740038847,-0.1301626893133504,0.17647058823529413,high_leverage,False
compound_33,train,0.03261983859819428,-0.254525692525389,0.17647058823529413,in_domain,True
compound_99,train,0.04962114070077137,-0.2525075514480181,0.17647058823529413,in_domain,True
compound_84,train,0.023567977143545592,-0.015880791888470483,0.17647058823529413,in_domain,True
compound_19,train,0.04205205714646782,0.015281740664103437,0.17647058823529413,in_domain,True
compound_180,train,0.05088850000022715,-0.44633182185020986,0.17647058823529413,in_domain,True
compound_90,train,0.2268515807284999,0.008385178732901837,0.17647058823529413,high_leverage,False
compound_112,train,0.0337833207513496,-0.10554564582032029,0.17647058823529413,in_domain,True
compound_37,train,0.07144605171301788,-0.007823244312379438,0.17647058823529413,in_domain,True
compound_36,train,0.1301052372681312,0.004969798351963066,0.17647058823529413,in_domain,True
compound_161,train,0.04751937584773686,-0.19598442828568166,0.17647058823529413,in_domain,True
compound_89,train,0.18173906876422655,-0.09437920027064842,0.17647058823529413,high_leverage,False
compound_125,train,0.03579265404135802,-0.6004901816081621,0.17647058823529413,in_domain,True
compound_54,train,0.03962662142439983,-0.13270750672835105,0.17647058823529413,in_domain,True
compound_176,train,0.03940140066148063,0.19768499003973491,0.17647058823529413,in_domain,True
compound_177,train,0.08280689315655117,-0.014960695257528201,0.17647058823529413,in_domain,True
compound_95,train,0.030221121785989114,-0.2259575433897995,0.17647058823529413,in_domain,True
compound_116,train,0.03157897880554567,-0.0756512931004667,0.17647058823529413,in_domain,True
compound_164,train,0.025886139063328338,-0.1527192999579559,0.17647058823529413,in_domain,True
compound_126,train,0.040048352620155,0.1347134303316294,0.17647058823529413,in_domain,True
compound_0,train,0.1801523686909865,0.03623913874606788,0.17647058823529413,high_leverage,False
compound_32,train,0.03867574029451559,0.3217266529534936,0.17647058823529413,in_domain,True
compound_88,train,0.03674833217862296,-0.267780643505685,0.17647058823529413,in_domain,True
compound_110,train,0.03371021709104414,0.19792761410150972,0.17647058823529413,in_domain,True
compound_165,train,0.034579913386710494,-0.29814933622628337,0.17647058823529413,in_domain,True
compound_8,train,0.039870556143687175,0.045241952499042566,0.17647058823529413,in_domain,True
compound_58,train,0.036374129791379974,-0.6667530264596914,0.17647058823529413,in_domain,True
compound_122,train,0.03985839549081397,0.11641649292907036,0.17647058823529413,in_domain,True
compound_96,train,0.03025364756503024,0.07829179453359696,0.17647058823529413,in_domain,True
compound_13,train,0.03170628249815918,-0.1544580203208581,0.17647058823529413,in_domain,True
compound_78,train,0.03770012947222581,-0.618330070706566,0.17647058823529413,in_domain,True
compound_23,train,0.09414985728031366,0.02677151668460883,0.17647058823529413,in_domain,True
compound_16,train,0.02956245569935275,0.5120178563488161,0.17647058823529413,in_domain,True
compound_102,train,0.053225959830551256,-0.5480560501554081,0.17647058823529413,in_domain,True
compound_28,train,0.09863330587790803,-0.02762768175669373,0.17647058823529413,in_domain,True
compound_173,train,0.042027808321977236,0.23786601860412937,0.17647058823529413,in_domain,True
compound_74,train,0.10093747078136954,-0.09372702046743486,0.17647058823529413,in_domain,True
compound_132,train,0.09528636817207652,-0.04234079534430005,0.17647058823529413,in_domain,True
compound_162,train,0.06182844856096749,-0.25686611923825636,0.17647058823529413,in_domain,True
compound_3,train,0.03970867675846541,-0.04489946100813361,0.17647058823529413,in_domain,True
compound_138,train,0.10288053315380803,-0.0006814209683057026,0.17647058823529413,in_domain,True
compound_178,train,0.055863542734316804,-0.0048147172476263825,0.17647058823529413,in_domain,True
compound_55,train,0.04505490028971411,0.061635975696659524,0.17647058823529413,in_domain,True
compound_111,train,0.02333351416972143,0.7632129847125364,0.17647058823529413,in_domain,True
compound_134,train,0.10868776168122768,0.0981011625188723,0.17647058823529413,in_domain,True
compound_86,train,0.09165639193075793,-0.11608546711731017,0.17647058823529413,in_domain,True
compound_114,train,0.034413343361928625,-0.14308110954487763,0.17647058823529413,in_domain,True
compound_100,train,0.033064365604879395,0.7246470132769764,0.17647058823529413,in_domain,True
compound_109,train,0.06834449108254306,-0.014444864398669406,0.17647058823529413,in_domain,True
compound_115,train,0.03306414845561163,0.7109452223528157,0.17647058823529413,in_domain,True
compound_60,train,0.031709768688508146,-0.12326731718566016,0.17647058823529413,in_domain,True
compound_57,train,0.05833338674853658,0.13104615323669894,0.17647058823529413,in_domain,True
compound_93,train,0.04056901237345675,0.2585130027046002,0.17647058823529413,in_domain,True
compound_169,train,0.03466193860796936,0.34292079216211774,0.17647058823529413,in_domain,True
compound_91,train,0.02283490757159761,1.1216868820021844,0.17647058823529413,in_domain,True
compound_21,train,0.022386661425230325,1.0132646754110575,0.17647058823529413,in_domain,True
compound_187,train,0.04778790558925985,-1.1084634589132953,0.17647058823529413,in_domain,True
compound_129,train,0.04830178400814215,0.3894989189176738,0.17647058823529413,in_domain,True
compound_92,train,0.03440025919448201,0.5781156026038529,0.17647058823529413,in_domain,True
compound_190,train,0.024079763749488815,-1.5151617909734718,0.17647058823529413,in_domain,True
compound_73,train,0.03345753402862394,0.6455615306837862,0.17647058823529413,in_domain,True
compound_97,train,0.034414168900674044,0.4254383986753796,0.17647058823529413,in_domain,True
compound_27,train,0.022925276723536947,-0.343326615070683,0.17647058823529413,in_domain,True
compound_44,train,0.033599590937681424,0.618788987745122,0.17647058823529413,in_domain,True
compound_106,train,0.0733017345795367,0.27027601334325163,0.17647058823529413,in_domain,True
compound_49,train,0.037869976372918106,-0.605095537286475,0.17647058823529413,in_domain,True
compound_5,train,0.044434337187883484,0.7933264312575774,0.17647058823529413,in_domain,True
compound_159,train,0.044403507792898235,1.0593465312308699,0.17647058823529413,in_domain,True
compound_107,train,0.03441624693576262,0.7715781078096204,0.17647058823529413,in_domain,True
compound_82,train,0.024076271896224397,-0.9015829263693173,0.17647058823529413,in_domain,True
compound_145,train,0.02410644690080088,-0.9024281377560783,0.17647058823529413,in_domain,True
compound_69,train,0.09937374305380206,0.24818538772993864,0.17647058823529413,in_domain,True
compound_45,train,0.07586971343625314,-0.35341565938489106,0.17647058823529413,in_domain,True
compound_53,train,0.05319690360926617,1.0506293840543046,0.17647058823529413,in_domain,True
compound_87,train,0.09049089820101389,0.17112879503387968,0.17647058823529413,in_domain,True
compound_30,train,0.13580961480416312,0.08447910980638468,0.17647058823529413,in_domain,True
compound_147,train,0.06365542578891221,-0.5882678328925943,0.17647058823529413,in_domain,True
compound_148,train,0.05278044324037007,-0.7383490788606237,0.17647058823529413,in_domain,True
compound_94,train,0.038101959133825754,1.4012691836499556,0.17647058823529413,in_domain,True
compound_66,train,0.03859098155605086,0.4285876197674561,0.17647058823529413,in_domain,True
compound_158,train,0.046521651117589505,-0.2665288088727671,0.17647058823529413,in_domain,True
compound_103,train,0.06969665088816632,0.7049920759548128,0.17647058823529413,in_domain,True
compound_1,train,0.04247997720239542,0.9252934819348015,0.17647058823529413,in_domain,True
compound_170,train,0.16911986176057803,0.08409017007316745,0.17647058823529413,in_domain,True
compound_141,train,0.33085209546095706,0.06838050033087249,0.17647058823529413,high_leverage,False
compound_172,train,0.023119834081914366,-0.14217620374037682,0.17647058823529413,in_domain,True
compound_166,train,0.026203112496753143,-0.21992110898866643,0.17647058823529413,in_domain,True
compound_104,train,0.053059680414423424,1.0102790480515267,0.17647058823529413,in_domain,True
compound_153,train,0.024700096775022003,0.008357151394363558,0.17647058823529413,in_domain,True
compound_171,train,0.02486931536372654,0.06323454894987794,0.17647058823529413,in_domain,True
compound_61,train,0.0469556337843684,1.1253316347831392,0.17647058823529413,in_domain,True
compound_181,train,0.030597788850715252,0.8172118083124804,0.17647058823529413,in_domain,True
compound_68,train,0.04649363057652008,0.07270919809266016,0.17647058823529413,in_domain,True
compound_41,train,0.04015508369003322,0.6838783783194124,0.17647058823529413,in_domain,True
compound_29,train,0.031213674534649967,-0.015915180665071225,0.17647058823529413,in_domain,True
compound_85,train,0.021130598903313633,0.41299748303447203,0.17647058823529413,in_domain,True
compound_156,train,0.025692814752367895,-0.13615370894592588,0.17647058823529413,in_domain,True
compound_152,train,0.025715740877635163,0.2966232933643053,0.17647058823529413,in_domain,True
compound_149,train,0.02819929530544702,0.2534371717488305,0.17647058823529413,in_domain,True
compound_150,train,0.026936432827953875,0.6695643342183094,0.17647058823529413,in_domain,True
compound_157,train,0.019832150552096205,0.6289995383885428,0.17647058823529413,in_domain,True
compound_151,train,0.024776770428545744,1.5632294275273726,0.17647058823529413,in_domain,True
compound_184,train,0.2225225775011966,0.26107270444598585,0.17647058823529413,high_leverage,False
compound_65,train,0.014417783121027785,1.6810892367767207,0.17647058823529413,in_domain,True
compound_71,train,0.02647525791849125,2.9985496019390196,0.17647058823529413,in_domain,True
compound_179,train,0.12303490904919194,1.2814496678666123,0.17647058823529413,in_domain,True
compound_155,train,0.02204153045249592,1.1510089607466887,0.17647058823529413,in_domain,True
compound_154,train,0.022955250913763815,1.5202293559745677,0.17647058823529413,in_domain,True
compound_188,train,0.01880234782892893,1.7384242170417774,0.17647058823529413,in_domain,True
compound_143,train,0.1305444527574208,0.047501325957780685,0.17647058823529413,in_domain,True
compound_189,train,0.01721379804881191,2.2450966580734244,0.17647058823529413,in_domain,True
compound_167,train,0.16287879289566845,0.12952920254835085,0.17647058823529413,in_domain,True
compound_163,val,0.056363897059771254,-3.5938292565859027,0.17647058823529413,response_outlier,False
compound_25,val,0.03040702078109004,-1.7288930757528613,0.17647058823529413,in_domain,True
compound_11,val,0.03431339285408752,-1.80133032843109,0.17647058823529413,in_domain,True
compound_22,val,0.06922779546594382,-0.7991414734228991,0.17647058823529413,in_domain,True
compound_98,val,0.029954562264599326,-0.3837853305254466,0.17647058823529413,in_domain,True
compound_34,val,0.03568350973562458,-0.9399763814148279,0.17647058823529413,in_domain,True
compound_17,val,0.040045271934944,-0.054125526387950526,0.17647058823529413,in_domain,True
compound_6,val,0.059038169565418366,0.054742817961040864,0.17647058823529413,in_domain,True
compound_105,val,0.034466445392469076,-1.547132438554446,0.17647058823529413,in_domain,True
compound_119,val,0.14175813469013665,1.9767262653502282,0.17647058823529413,in_domain,True
compound_56,val,0.029983962038897853,0.16812205331347607,0.17647058823529413,in_domain,True
compound_40,val,0.031077124399245586,0.7401667211650441,0.17647058823529413,in_domain,True
compound_120,val,0.03307778971298701,1.2404818164435378,0.17647058823529413,in_domain,True
compound_108,val,0.0344142026527888,0.6930515026628856,0.17647058823529413,in_domain,True
compound_136,val,0.09521612583857413,1.9829834082363613,0.17647058823529413,in_domain,True
compound_39,val,0.0965340824541585,0.8664615824745803,0.17647058823529413,in_domain,True
compound_186,val,0.028947647066255147,1.4393003021265593,0.17647058823529413,in_domain,True
compound_42,val,0.0450210254193257,2.8419531673820937,0.17647058823529413,in_domain,True
compound_142,val,0.1246487339448949,0.4524680024801778,0.17647058823529413,in_domain,True
compound_52,test,0.07079561712554074,-2.2129908276265207,0.17647058823529413,in_domain,True
compound_140,test,0.11421463168215856,-3.783156354659695,0.17647058823529413,response_outlier,False
compound_182,test,0.13544508153165957,-1.3232881301915809,0.17647058823529413,in_domain,True
compound_130,test,0.04004522096947387,-0.7686525140345917,0.17647058823529413,in_domain,True
compound_12,test,0.029294331312277707,-0.8233509199680897,0.17647058823529413,in_domain,True
compound_175,test,0.05542834886222431,-0.3135152667881502,0.17647058823529413,in_domain,True
compound_131,test,0.09058682821774969,-2.1280941926121635,0.17647058823529413,in_domain,True
compound_24,test,0.02957445844041315,0.10194282797573385,0.17647058823529413,in_domain,True
compound_62,test,0.07108225048436206,1.19521793934393,0.17647058823529413,in_domain,True
compound_46,test,0.1045016757893473,0.4847914386682988,0.17647058823529413,in_domain,True
compound_124,test,0.04034582583707904,0.8569296210802096,0.17647058823529413,in_domain,True
compound_123,test,0.042147215016029235,0.5322878346940116,0.17647058823529413,in_domain,True
compound_117,test,0.04222274704980411,1.0999219895619106,0.17647058823529413,in_domain,True
compound_43,test,0.015298452611467134,-2.87794886447058,0.17647058823529413,in_domain,True
compound_144,test,0.024709797494692376,-0.8699178343638331,0.17647058823529413,in_domain,True
compound_81,test,0.028062229514903305,-0.016504917979983796,0.17647058823529413,in_domain,True
compound_185,test,0.030700039128077013,1.359933105104979,0.17647058823529413,in_domain,True
compound_146,test,0.06155492891578951,4.0972040659324644,0.17647058823529413,response_outlier,False
compound_64,test,0.023522812299498555,3.3742064338937277,0.17647058823529413,response_outlier,False
