generation,best_fitness,avg_fitness
1,-7.012775494415221,-9.262427469742896
2,-7.01277549441522,-8.772670601158364
3,-7.01277549441522,-8.411182152255105
4,-6.637742771270314,-8.408334649822455
5,-6.391498219660378,-7.802981725192234
6,-5.908118261890693,-7.3812660265086265
7,-5.908118261890693,-7.065594372172905
8,-5.463671365795873,-6.622718789445637
9,-5.463671365795873,-6.470679193100008
10,-5.499687825411791,-6.278712346893534
11,-5.499687825411791,-6.092820609635484
12,-5.499687825411789,-5.860817561481866
13,-5.499687825411789,-5.712552818324798
14,-5.499687825411789,-5.523572633444564
15,-5.499687825411789,-5.49968782541179
16,-5.499687825411789,-5.512099216108388
17,-5.499687825411789,-5.54613721030328
18,-5.499687825411789,-5.53256756627509
19,-5.499687825411789,-5.527717434608352
20,-5.499687825411789,-5.547207536719901
21,-5.4996878254117885,-5.511672038140722
22,-5.499687825411789,-5.514177629633706
23,-5.499687825411789,-5.5454748296424325
24,-5.4996878254117885,-5.49968782541179
25,-5.4996878254117885,-5.555708630988203
26,-5.499687825411789,-5.511211759198227
27,-5.499687825411789,-5.5060431228957984
28,-5.4996878254117885,-5.5990242854410965
29,-5.4996878254117885,-5.507314189673102
30,-5.499687825411789,-5.575187143088556
