rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",1.0,0.5198184416666088,0.11032830179109142,0.0,0.0,0.0,0.0,0.48018155833339116,True
2,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9305043627666307,0.5145544466486244,0.10017279645524581,0.0,0.0,0.0,0.0,0.41594991611800636,False
3,"{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.9324474899765279,0.5140440921100229,0.11346481535180405,0.0,0.0,0.0,0.0,0.41840339786650504,False
4,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.5132252313868897,0.09597433548650222,0.0,0.0,0.0,0.0,0.4867747686131103,False
5,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.5115403159776608,0.11766646109999944,0.0,0.0,0.0,0.0,0.4884596840223392,False
6,"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",1.0,0.5106317547048256,0.1220339296054621,0.0,0.0,0.0,0.0,0.4893682452951744,False
7,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",1.0,0.5101793942540814,0.10394564515939986,0.0,0.0,0.0,0.0,0.48982060574591857,False
8,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9296509724291374,0.5095966377131591,0.10989864350395127,0.0,0.0,0.0,0.0,0.4200543347159783,False
9,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.9332694602922649,0.5094393802809318,0.11012936373248702,0.0,0.0,0.0,0.0,0.42383008001133304,False
10,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.9334154731933214,0.5073551525472089,0.1077043142397064,0.0,0.0,0.0,0.0,0.42606032064611254,False
11,"{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9280466958690375,0.5064634900548721,0.10873276110518404,0.0,0.0,0.0,0.0,0.4215832058141654,False
