generation,best_fitness,avg_fitness
1,-6.784077869418637,-7.122431298572536
2,-6.497035191514336,-6.962175345917172
3,-6.4970351915143345,-6.864178481652441
4,-6.4970351915143345,-6.749606030550958
5,-6.497035191514334,-6.671708686101466
6,-6.497035191514334,-6.563508169064148
7,-6.497035191514334,-6.512090855557276
8,-6.497035191514334,-6.497035191514335
9,-6.497035191514334,-6.497035191514335
10,-6.497035191514334,-6.526907413474727
11,-6.497035191514334,-6.512292011036909
12,-6.497035191514332,-6.530502835517066
13,-6.497035191514332,-6.497035191514335
14,-6.497035191514334,-6.497035191514335
15,-6.497035191514334,-6.524342084231909
16,-6.497035191514332,-6.498528795800298
17,-6.168781405838112,-6.515890861694653
18,-6.168781405838112,-6.494069794709897
19,-6.168781405838112,-6.430950059504855
20,-6.168781405838111,-6.323730448997287
21,-6.168781405838111,-6.2134149680453525
22,-6.168781405838111,-6.188053001286604
23,-6.168781405838111,-6.1687814058381125
24,-6.168781405838111,-6.191437409056508
25,-6.168781405838111,-6.205408775187821
26,-6.168781405838111,-6.168781405838112
27,-6.168781405838111,-6.203842553863567
28,-6.168781405838111,-6.1687814058381125
29,-6.168781405838111,-6.188175508180272
30,-6.168781405838111,-6.204075094570264
