n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features,val_r2,combined_r2
1,0.9541645223746581,0.3144402360596745,0.17635066558213602,['RDKit_MaxAbsPartialCharge'],-0.13579784834205477,0.08932119385880988
2,0.9520839801411789,0.4657087664665195,0.07627596309655962,"['RDKit_HallKierAlpha', 'RDKit_MaxAbsPartialCharge']",0.4777621766221518,0.47173547154433565
3,0.9257581059347295,0.48715909724966944,0.07810051964485291,"['RDKit_HallKierAlpha', 'RDKit_MaxAbsPartialCharge', 'RDKit_fr_NH1']",0.482745165150263,0.4849521311999662
4,0.9010508353138593,0.5012855037871299,0.12711230365471415,"['RDKit_HallKierAlpha', 'RDKit_MaxAbsPartialCharge', 'RDKit_SlogP_VSA8', 'RDKit_fr_NH1']",0.4939029149366464,0.49759420936188814
5,0.904316138856226,0.5014498008498673,0.13251873586468552,"['RDKit_HallKierAlpha', 'RDKit_MaxAbsPartialCharge', 'RDKit_PEOE_VSA2', 'RDKit_SlogP_VSA8', 'RDKit_fr_NH1']",0.6006422089310846,0.551046004890476
6,0.9163236117154668,0.5259058608230867,0.14371166890378886,"['RDKit_HallKierAlpha', 'RDKit_MaxAbsPartialCharge', 'RDKit_PEOE_VSA11', 'RDKit_PEOE_VSA2', 'RDKit_SlogP_VSA8', 'RDKit_fr_NH1']",0.5972072448165984,0.5615565528198425
7,0.9230620642863152,0.5412608358725783,0.13315416787205797,"['RDKit_HallKierAlpha', 'RDKit_MaxAbsPartialCharge', 'RDKit_PEOE_VSA11', 'RDKit_PEOE_VSA2', 'RDKit_SlogP_VSA11', 'RDKit_SlogP_VSA8', 'RDKit_fr_NH1']",0.6030841431156291,0.5721724894941037
8,0.9219581897218585,0.560481731271193,0.11112896807369019,"['RDKit_EState_VSA10', 'RDKit_HallKierAlpha', 'RDKit_MaxAbsPartialCharge', 'RDKit_PEOE_VSA11', 'RDKit_PEOE_VSA2', 'RDKit_SlogP_VSA11', 'RDKit_SlogP_VSA8', 'RDKit_fr_NH1']",0.6742355360636729,0.617358633667433
9,0.9377215397041216,0.5857780283997395,0.08596685724519491,"['RDKit_EState_VSA10', 'RDKit_HallKierAlpha', 'RDKit_MaxAbsPartialCharge', 'RDKit_PEOE_VSA11', 'RDKit_PEOE_VSA2', 'RDKit_SlogP_VSA10', 'RDKit_SlogP_VSA11', 'RDKit_SlogP_VSA8', 'RDKit_fr_NH1']",0.7245694917086947,0.6551737600542171
10,0.9322755140359895,0.5970965619454337,0.08172441187669209,"['RDKit_EState_VSA10', 'RDKit_HallKierAlpha', 'RDKit_MaxAbsPartialCharge', 'RDKit_PEOE_VSA11', 'RDKit_PEOE_VSA2', 'RDKit_SlogP_VSA10', 'RDKit_SlogP_VSA11', 'RDKit_SlogP_VSA8', 'RDKit_fr_NH1', 'RDKit_fr_Ndealkylation1']",0.7294690812589548,0.6632828216021942
