rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9999701902516589,0.5469220113134867,0.09718868077711443,0.0,0.0,0.0,0.0,0.4530481789381722,True
2,"{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",0.9328487450090579,0.5446318628089779,0.09525743172428813,0.0,0.0,0.0,0.0,0.38821688220008,False
3,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",0.9332478121547938,0.5443800606139954,0.09994207573752167,0.0,0.0,0.0,0.0,0.38886775154079845,False
4,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",0.9999701852471581,0.54335278755971,0.10481230022641408,0.0,0.0,0.0,0.0,0.45661739768744813,False
5,"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",0.9999701918959814,0.5413021791602273,0.10179394044696184,0.0,0.0,0.0,0.0,0.4586680127357541,False
6,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",0.9331333250927761,0.5408179993110457,0.10391952109356045,0.0,0.0,0.0,0.0,0.39231532578173045,False
7,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9295877503582272,0.5392080960224594,0.1139203252423656,0.0,0.0,0.0,0.0,0.3903796543357677,False
8,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.93057814792316,0.538861955716922,0.11163305935208702,0.0,0.0,0.0,0.0,0.391716192206238,False
9,"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9999701918959814,0.5378222200376509,0.1065801922752139,0.0,0.0,0.0,0.0,0.46214797185833045,False
10,"{'bootstrap': True, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9296446388028841,0.5357209906127232,0.09023653359619957,0.0,0.0,0.0,0.0,0.3939236481901609,False
11,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",0.9999701918959814,0.5322682637544969,0.10313464674114614,0.0,0.0,0.0,0.0,0.4677019281414845,False
12,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9999701918959814,0.5252638191951968,0.09772938336473896,0.0,0.0,0.0,0.0,0.47470637270078453,False
13,"{'bootstrap': False, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",0.7087773493210008,0.45174059012456047,0.0799478154882825,0.0,0.0,0.0,0.0,0.2570367591964403,False
14,"{'bootstrap': True, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",0.6874092800717863,0.4501096324240798,0.07289172936956576,0.0,0.0,0.0,0.0,0.23729964764770645,False
15,"{'bootstrap': True, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6790060607462347,0.4403185308494278,0.06628828474460599,0.0,0.0,0.0,0.0,0.23868752989680692,False
16,"{'bootstrap': False, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7022393254670541,0.43905284619307106,0.07674050878800086,0.0,0.0,0.0,0.0,0.2631864792739831,False
17,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 1000}",0.6406651957615506,0.43758886353370074,0.06899009643960985,0.0,0.0,0.0,0.0,0.20307633222784982,False
18,"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 100}",0.6276988592799569,0.4355084244037009,0.07374753696817556,0.0,0.0,0.0,0.0,0.19219043487625603,False
19,"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 1000}",0.6259849555507759,0.43409193525003625,0.07189941462061224,0.0,0.0,0.0,0.0,0.19189302030073968,False
20,"{'bootstrap': False, 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 100}",0.6459850963694521,0.43197224946474044,0.08018989784279167,0.0,0.0,0.0,0.0,0.21401284690471167,False
21,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 100}",0.5994456057992259,0.42328094875838557,0.07330423029956448,0.0,0.0,0.0,0.0,0.17616465704084033,False
22,"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 1000}",0.5987887932926353,0.4221144202499868,0.06695534867474362,0.0,0.0,0.0,0.0,0.17667437304264855,False
23,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",0.6428042088608106,0.41925662135612807,0.0719339950939182,0.0,0.0,0.0,0.0,0.2235475875046825,False
24,"{'bootstrap': False, 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6605522408325326,0.414124433884748,0.07345263133844257,0.0,0.0,0.0,0.0,0.2464278069477846,False
25,"{'bootstrap': False, 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",0.6541690408426915,0.41294849646669407,0.07666301964908269,0.0,0.0,0.0,0.0,0.24122054437599738,False
26,"{'bootstrap': True, 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6382529261298094,0.41221803649285305,0.07414294475362956,0.0,0.0,0.0,0.0,0.2260348896369564,False
27,"{'bootstrap': False, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 1000}",0.5704671418202935,0.3933635021412717,0.06256943644563374,0.0,0.0,0.0,0.0,0.17710363967902176,False
28,"{'bootstrap': False, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 100}",0.5679703165096577,0.38517696166969084,0.0713084235727229,0.0,0.0,0.0,0.0,0.18279335483996684,False
