generation,best_fitness,avg_fitness
1,-10.597686731063655,-13.568755696415012
2,-8.89722788609624,-11.80780018948575
3,-8.89722788609624,-10.861896604482418
4,-8.89722788609624,-10.313976512071047
5,-8.89722788609624,-10.196592530585603
6,-8.89722788609624,-9.315393881654272
7,-8.89722788609624,-8.931237062995587
8,-8.89722788609624,-9.157648713122391
9,-8.89722788609624,-9.25903514329232
10,-8.89722788609624,-9.426534694394338
11,-8.89722788609624,-9.091424675555025
12,-8.89722788609624,-9.737994326705538
13,-8.89722788609624,-9.021969029908293
14,-8.89722788609624,-8.897227886096239
15,-8.89722788609624,-9.162609120801767
16,-8.89722788609624,-9.014056430323322
17,-8.89722788609624,-9.17111386547714
18,-8.89722788609624,-9.263694199509132
19,-8.89722788609624,-9.01686820898444
20,-8.89722788609624,-9.727226131369179
21,-8.89722788609624,-8.897227886096239
22,-8.89722788609624,-9.369997646112454
23,-8.89722788609624,-9.111159895112982
24,-8.89722788609624,-9.295029052348882
25,-8.89722788609624,-9.907244007053762
26,-8.89722788609624,-9.033249058225401
27,-8.89722788609624,-9.176075967064802
28,-8.89722788609624,-9.272621871959544
29,-8.89722788609624,-9.109643007758228
30,-8.89722788609624,-9.472857897350929
