rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'metric': 'minkowski', 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",1.0,0.3796397543481309,0.20329728458530022,0.0,0.0,0.0,0.0,0.6203602456518691,True
2,"{'metric': 'minkowski', 'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",1.0,0.3796397543481309,0.20329728458530022,0.0,0.0,0.0,0.0,0.6203602456518691,False
3,"{'metric': 'euclidean', 'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",1.0,0.3796397543481309,0.20329728458530022,0.0,0.0,0.0,0.0,0.6203602456518691,False
4,"{'metric': 'euclidean', 'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",1.0,0.3796397543481309,0.20329728458530022,0.0,0.0,0.0,0.0,0.6203602456518691,False
5,"{'metric': 'minkowski', 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",1.0,0.3737274244108245,0.19221527874512895,0.0,0.0,0.0,0.0,0.6262725755891755,False
6,"{'metric': 'minkowski', 'n_neighbors': 15, 'p': 2, 'weights': 'distance'}",1.0,0.3737274244108245,0.19221527874512895,0.0,0.0,0.0,0.0,0.6262725755891755,False
7,"{'metric': 'euclidean', 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",1.0,0.3737274244108245,0.19221527874512895,0.0,0.0,0.0,0.0,0.6262725755891755,False
8,"{'metric': 'euclidean', 'n_neighbors': 15, 'p': 2, 'weights': 'distance'}",1.0,0.3737274244108245,0.19221527874512895,0.0,0.0,0.0,0.0,0.6262725755891755,False
9,"{'metric': 'minkowski', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",1.0,0.36988339539372816,0.2171287412297032,0.0,0.0,0.0,0.0,0.6301166046062718,False
10,"{'metric': 'minkowski', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",1.0,0.36988339539372816,0.2171287412297032,0.0,0.0,0.0,0.0,0.6301166046062718,False
11,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",1.0,0.36988339539372816,0.2171287412297032,0.0,0.0,0.0,0.0,0.6301166046062718,False
12,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",1.0,0.36988339539372816,0.2171287412297032,0.0,0.0,0.0,0.0,0.6301166046062718,False
13,"{'metric': 'minkowski', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",1.0,0.36960637418187137,0.21396126801433593,0.0,0.0,0.0,0.0,0.6303936258181286,False
