generation,best_fitness,avg_fitness
1,-8.555562337504643,-10.32023954641983
2,-7.962857225735413,-9.739201835711754
3,-7.823525981953192,-9.217700205675166
4,-7.823525981953192,-9.190008754607906
5,-7.823525981953192,-8.849856114114486
6,-7.823525981953192,-8.798570468262952
7,-7.749628471997754,-8.403288848156805
8,-7.281478896636146,-8.159016353556128
9,-7.281478896636146,-7.976436208000525
10,-7.281478896636146,-8.345384244292694
11,-7.281478896636146,-7.9860636638652105
12,-7.281478896636146,-7.9491987233072585
13,-7.281478896636146,-7.554430659992693
14,-7.281478896636146,-7.402296668347949
15,-7.281478896636146,-7.281478896636146
16,-7.281478896636146,-7.308897278441766
17,-7.281478896636146,-7.319569970770763
18,-7.281478896636146,-7.404865222852743
19,-7.281478896636146,-7.281478896636146
20,-7.281478896636146,-7.397875660352815
21,-7.281478896636146,-7.389617352533674
22,-7.281478896636146,-7.52758066034272
23,-7.281478896636146,-7.331593635269912
24,-7.281478896636146,-7.423324990719764
25,-7.281478896636146,-7.352918875884946
26,-7.281478896636146,-7.281478896636146
27,-7.281478896636146,-7.375158879708959
28,-7.281478896636146,-7.301386231103806
29,-7.281478896636146,-7.3780707099998475
30,-7.281478896636146,-7.361901843071914
