rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'metric': 'minkowski', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",1.0,0.4040867346875684,0.2555396123773904,0.0,0.0,0.0,0.0,0.5959132653124316,True
2,"{'metric': 'euclidean', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",1.0,0.4040867346875684,0.2555396123773904,0.0,0.0,0.0,0.0,0.5959132653124316,False
3,"{'metric': 'minkowski', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",1.0,0.40404468900227986,0.30520601903641636,0.0,0.0,0.0,0.0,0.5959553109977201,False
4,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",1.0,0.40404468900227986,0.30520601903641636,0.0,0.0,0.0,0.0,0.5959553109977201,False
5,"{'metric': 'minkowski', 'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",1.0,0.39984146855503366,0.2195613983789469,0.0,0.0,0.0,0.0,0.6001585314449663,False
6,"{'metric': 'euclidean', 'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",1.0,0.39984146855503366,0.2195613983789469,0.0,0.0,0.0,0.0,0.6001585314449663,False
7,"{'metric': 'minkowski', 'n_neighbors': 15, 'p': 2, 'weights': 'distance'}",1.0,0.395492494802408,0.19433919934216168,0.0,0.0,0.0,0.0,0.604507505197592,False
8,"{'metric': 'euclidean', 'n_neighbors': 15, 'p': 2, 'weights': 'distance'}",1.0,0.395492494802408,0.19433919934216168,0.0,0.0,0.0,0.0,0.604507505197592,False
9,"{'metric': 'minkowski', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",1.0,0.37743167262364247,0.36060575991987637,0.0,0.0,0.0,0.0,0.6225683273763576,False
10,"{'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",1.0,0.37743167262364247,0.36060575991987637,0.0,0.0,0.0,0.0,0.6225683273763576,False
11,"{'metric': 'minkowski', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.6219860705599168,0.3278671302602831,0.21761090842813186,0.0,0.0,0.0,0.0,0.29411894029963376,False
12,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.6219860705599168,0.3278671302602831,0.21761090842813186,0.0,0.0,0.0,0.0,0.29411894029963376,False
13,"{'metric': 'minkowski', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.7108777261216275,0.31616355827497655,0.24521126892720208,0.0,0.0,0.0,0.0,0.3947141678466509,False
14,"{'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.7108777261216275,0.31616355827497655,0.24521126892720208,0.0,0.0,0.0,0.0,0.3947141678466509,False
15,"{'metric': 'minkowski', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.5306039452473443,0.2951331217517125,0.20443482590154843,0.0,0.0,0.0,0.0,0.2354708234956318,False
16,"{'metric': 'euclidean', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.5306039452473443,0.2951331217517125,0.20443482590154843,0.0,0.0,0.0,0.0,0.2354708234956318,False
17,"{'metric': 'minkowski', 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.4344919851400656,0.2733043775812777,0.14818884445536556,0.0,0.0,0.0,0.0,0.16118760755878792,False
18,"{'metric': 'euclidean', 'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.4344919851400656,0.2733043775812777,0.14818884445536556,0.0,0.0,0.0,0.0,0.16118760755878792,False
19,"{'metric': 'minkowski', 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",0.36451504778122595,0.24779743904853596,0.10983833509233724,0.0,0.0,0.0,0.0,0.11671760873268999,False
20,"{'metric': 'euclidean', 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",0.36451504778122595,0.24779743904853596,0.10983833509233724,0.0,0.0,0.0,0.0,0.11671760873268999,False
