n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features,val_r2,combined_r2
1,0.5685788008222481,0.3367418062380919,0.13913805306411411,['RDKit_MinPartialCharge'],0.3143248779302582,0.32553334208417506
2,0.5686423240828815,0.3713711075940961,0.11898261590842991,"['RDKit_MinPartialCharge', 'RDKit_fr_ArN']",0.3076436791319044,0.33950739336300023
3,0.63908040160832,0.41527761159875987,0.12224577681350965,"['RDKit_EState_VSA2', 'RDKit_MinPartialCharge', 'RDKit_fr_ArN']",0.28556983867255414,0.350423725135657
4,0.6448002544193627,0.43287856887507015,0.1218513115253718,"['RDKit_EState_VSA2', 'RDKit_MinPartialCharge', 'RDKit_fr_ArN', 'RDKit_fr_Ndealkylation1']",0.30265411041268186,0.367766339643876
5,0.6634008638727422,0.4439482090337357,0.12743907507576746,"['RDKit_EState_VSA2', 'RDKit_MinPartialCharge', 'RDKit_fr_ArN', 'RDKit_fr_Imine', 'RDKit_fr_Ndealkylation1']",0.29027117464582175,0.3671096918397787
6,0.6726857859584889,0.4512488329162041,0.12212995947672814,"['RDKit_EState_VSA2', 'RDKit_MinPartialCharge', 'RDKit_fr_Al_OH', 'RDKit_fr_ArN', 'RDKit_fr_Imine', 'RDKit_fr_Ndealkylation1']",0.29027117464582175,0.3707600037810129
7,0.6714723609287754,0.4557886735124802,0.12635825253285948,"['RDKit_EState_VSA2', 'RDKit_MinPartialCharge', 'RDKit_fr_Al_OH', 'RDKit_fr_ArN', 'RDKit_fr_Imine', 'RDKit_fr_Ndealkylation1', 'RDKit_fr_epoxide']",0.29027117464582175,0.373029924079151
8,0.6734010846019444,0.45808749404070126,0.1290280787134892,"['RDKit_EState_VSA2', 'RDKit_MinPartialCharge', 'RDKit_fr_Al_OH', 'RDKit_fr_ArN', 'RDKit_fr_Imine', 'RDKit_fr_Ndealkylation1', 'RDKit_fr_epoxide', 'RDKit_fr_furan']",0.2765725494144683,0.3673300217275848
9,0.6681311939209591,0.45931535170657634,0.09218885903435894,"['RDKit_EState_VSA2', 'RDKit_MinPartialCharge', 'RDKit_fr_Al_OH', 'RDKit_fr_ArN', 'RDKit_fr_Imine', 'RDKit_fr_Ndealkylation1', 'RDKit_fr_epoxide', 'RDKit_fr_furan', 'RDKit_fr_urea']",0.2575446543386968,0.35843000302263656
10,0.676578504817894,0.4630973862456408,0.09541084958790166,"['RDKit_EState_VSA2', 'RDKit_MinPartialCharge', 'RDKit_fr_Al_OH', 'RDKit_fr_ArN', 'RDKit_fr_Imine', 'RDKit_fr_Ndealkylation1', 'RDKit_fr_epoxide', 'RDKit_fr_furan', 'RDKit_fr_imide', 'RDKit_fr_urea']",0.2619502078584022,0.3625237970520215
