n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features,val_r2,combined_r2
1,0.2806301181533146,0.23909047475804232,0.12480189795433512,['RDKit_BCUT2D_LOGPHI'],0.1508200497346487,0.19495526224634552
2,0.31753905858948217,0.27186994478061177,0.1298913923643012,"['RDKit_BCUT2D_LOGPHI', 'RDKit_SlogP_VSA7']",0.16454399121566132,0.21820696799813655
3,0.37598224148087045,0.3267702526075909,0.14252984517987552,"['RDKit_BCUT2D_CHGHI', 'RDKit_BCUT2D_LOGPHI', 'RDKit_SlogP_VSA7']",0.10695509791728619,0.21686267526243855
4,0.4084570030638913,0.36589027700247617,0.11650189534245176,"['RDKit_BCUT2D_CHGHI', 'RDKit_BCUT2D_LOGPHI', 'RDKit_PEOE_VSA14', 'RDKit_SlogP_VSA7']",0.014275103950186052,0.1900826904763311
5,0.448934165186495,0.3928490902655356,0.13308311512190077,"['RDKit_BCUT2D_CHGHI', 'RDKit_BCUT2D_LOGPHI', 'RDKit_PEOE_VSA14', 'RDKit_SlogP_VSA7', 'RDKit_fr_ether']",0.03973506342701649,0.21629207684627605
6,0.49037573867464557,0.42331649752335243,0.12487634041250438,"['RDKit_BCUT2D_CHGHI', 'RDKit_BCUT2D_LOGPHI', 'RDKit_PEOE_VSA14', 'RDKit_SlogP_VSA7', 'RDKit_fr_NH1', 'RDKit_fr_ether']",0.0028439407089634328,0.21308021911615793
7,0.5131582706667155,0.4488506980818336,0.1349009227324613,"['RDKit_BCUT2D_CHGHI', 'RDKit_BCUT2D_LOGPHI', 'RDKit_PEOE_VSA14', 'RDKit_SlogP_VSA7', 'RDKit_VSA_EState7', 'RDKit_fr_NH1', 'RDKit_fr_ether']",0.03844571135301922,0.2436482047174264
8,0.5269149035057201,0.4611426116639574,0.12380788984735261,"['RDKit_BCUT2D_CHGHI', 'RDKit_BCUT2D_LOGPHI', 'RDKit_MinAbsEStateIndex', 'RDKit_PEOE_VSA14', 'RDKit_SlogP_VSA7', 'RDKit_VSA_EState7', 'RDKit_fr_NH1', 'RDKit_fr_ether']",0.0520500038766295,0.25659630777029346
9,0.5405765289794804,0.4740389974352186,0.12345116991258225,"['RDKit_BCUT2D_CHGHI', 'RDKit_BCUT2D_LOGPHI', 'RDKit_MinAbsEStateIndex', 'RDKit_PEOE_VSA14', 'RDKit_SlogP_VSA7', 'RDKit_VSA_EState7', 'RDKit_fr_NH1', 'RDKit_fr_ether', 'RDKit_fr_pyridine']",0.06246721786828313,0.26825310765175087
10,0.550266188682497,0.4816790815275837,0.11076651707306535,"['RDKit_BCUT2D_CHGHI', 'RDKit_BCUT2D_LOGPHI', 'RDKit_MinAbsEStateIndex', 'RDKit_PEOE_VSA12', 'RDKit_PEOE_VSA14', 'RDKit_SlogP_VSA7', 'RDKit_VSA_EState7', 'RDKit_fr_NH1', 'RDKit_fr_ether', 'RDKit_fr_pyridine']",0.038311334427720944,0.2599952079776523
