generation,best_fitness,avg_fitness
1,-7.1579093935199225,-9.989194843692996
2,-6.41004525136206,-9.246668676143523
3,-6.8569466231817096,-8.180268832557651
4,-6.43210483325684,-7.402050186701587
5,-5.266450070834612,-7.300903146595082
6,-5.266450070834612,-6.928700083394301
7,-5.266450070834612,-6.884242927661064
8,-5.266450070834612,-6.200074342039292
9,-5.266450070834612,-5.718917649079333
10,-5.266450070834612,-5.417811400848048
11,-5.266450070834612,-5.266450070834611
12,-5.266450070834612,-5.36489689587378
13,-5.266450070834612,-5.486813515528625
14,-5.266450070834612,-5.287009679372353
15,-5.266450070834612,-5.390105804411488
16,-5.266450070834612,-5.326992409587408
17,-5.266450070834612,-5.316991681434843
18,-5.266450070834612,-5.423347795053359
19,-5.266450070834612,-5.266450070834611
20,-5.266450070834612,-5.345884782322071
21,-5.266450070834612,-5.3251736773958775
22,-5.266450070834612,-5.3547631655872445
23,-5.266450070834612,-5.366822044825867
24,-5.266450070834612,-5.280261360481505
25,-5.266450070834612,-5.325647508060834
26,-5.266450070834612,-5.317813051996968
27,-5.266450070834612,-5.299305138693013
28,-5.266450070834612,-5.340151841091742
29,-5.266450070834612,-5.320934615709132
30,-5.1336804676804375,-5.263794678771529
