rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'C': 1.0, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.5323494866985314,0.4156903763229975,0.11349667872000309,0.0,0.0,0.0,0.0,0.11665911037553395,True
2,"{'C': 1.0, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.5326830713095962,0.41436227494378725,0.11352066221137419,0.0,0.0,0.0,0.0,0.118320796365809,False
3,"{'C': 1.0, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.5283178114347344,0.40797456735197457,0.11384033743669149,0.0,0.0,0.0,0.0,0.12034324408275987,False
4,"{'C': 1.0, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.5286906274009076,0.4064002563332033,0.11522198192923448,0.0,0.0,0.0,0.0,0.12229037106770424,False
5,"{'C': 1.0, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",0.534858226973747,0.405000688462958,0.11271498165880935,0.0,0.0,0.0,0.0,0.12985753851078896,False
6,"{'C': 1.0, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.5340192216343371,0.40376387960954585,0.11357675925984884,0.0,0.0,0.0,0.0,0.13025534202479128,False
7,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",0.6994055307690399,0.3515361572841395,0.1090194008752124,0.0,0.0,0.0,0.0,0.3478693734849004,False
8,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.6996832039708071,0.3497477318827563,0.10846297326606184,0.0,0.0,0.0,0.0,0.34993547208805076,False
9,"{'C': 10.0, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.6731551148713762,0.3412228772470972,0.10292271931465359,0.0,0.0,0.0,0.0,0.33193223762427904,False
10,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.6899459023244197,0.3400191260871329,0.08401979098256492,0.0,0.0,0.0,0.0,0.34992677623728674,False
11,"{'C': 10.0, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}",0.38738360764718904,0.33754119351680434,0.049369116745027274,0.0,0.0,0.0,0.0,0.049842414130384705,False
12,"{'C': 10.0, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.674690457168117,0.3337524177466312,0.10296875437756368,0.0,0.0,0.0,0.0,0.3409380394214858,False
13,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.3867493606892702,0.33295139211707037,0.057359930926874525,0.0,0.0,0.0,0.0,0.05379796857219982,False
14,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6905666540001777,0.33194794128327787,0.08677548991704573,0.0,0.0,0.0,0.0,0.3586187127168998,False
15,"{'C': 10.0, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.3789960411161064,0.3205314408578066,0.06962843113438674,0.0,0.0,0.0,0.0,0.058464600258299804,False
16,"{'C': 1.0, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.2797874880280279,0.2542382304324386,0.045042677722117994,0.0,0.0,0.0,0.0,0.025549257595589292,False
17,"{'C': 1.0, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.28357015904426575,0.2525447439512108,0.043168004574026475,0.0,0.0,0.0,0.0,0.031025415093054953,False
18,"{'C': 1.0, 'epsilon': 0.2, 'gamma': 0.01, 'kernel': 'rbf'}",0.27368542273055835,0.24257348004606444,0.04158825519900003,0.0,0.0,0.0,0.0,0.03111194268449391,False
19,"{'C': 10.0, 'epsilon': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}",0.2646724654452666,0.23696216863794892,0.04430216364310992,0.0,0.0,0.0,0.0,0.027710296807317708,False
20,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.26457686057537044,0.23456471770359916,0.04206215577049579,0.0,0.0,0.0,0.0,0.030012142871771286,False
