generation,best_fitness,avg_fitness
1,-5.5028844361400875,-5.831818414787913
2,-5.381147817376122,-5.718087917737428
3,-5.213860797767171,-5.615816040669113
4,-5.213860797767171,-5.550045542087678
5,-5.030415191198171,-5.506446642802364
6,-5.030415191198171,-5.4658329046887335
7,-5.030415191198171,-5.412070479134371
8,-5.030415191198171,-5.267855108493604
9,-5.030415191198171,-5.291927258778727
10,-4.9698404859224246,-5.255154514240844
11,-4.9698404859224246,-5.241451652613432
12,-4.9698404859224246,-5.170673476205345
13,-4.9698404859224246,-5.121138579715616
14,-4.9698404859224246,-5.160726984354784
15,-4.9698404859224246,-5.031685388859704
16,-4.9698404859224246,-4.9831925470828935
17,-4.9698404859224246,-4.992189840067936
18,-4.9698404859224246,-4.978665236518274
19,-4.9698404859224246,-5.004381172603185
20,-4.9698404859224246,-4.993740926023138
21,-4.9698404859224246,-4.996460125350158
22,-4.9698404859224246,-4.993319880090342
23,-4.9698404859224246,-4.990010909419366
24,-4.9698404859224246,-5.005445608746339
25,-4.9698404859224246,-4.9790689555119965
26,-4.9698404859224246,-4.9910327463885675
27,-4.9698404859224246,-4.9698404859224246
28,-4.9698404859224246,-4.977250772996329
29,-4.9698404859224246,-4.98408818583297
30,-4.9698404859224246,-5.002293567783976
