n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features,val_r2,combined_r2
1,0.3870713038568063,0.306104145664494,0.16143611828049834,['RDKit_Chi2v'],0.1439820080477645,0.22504307685612926
2,0.43568138868519735,0.3529832476521307,0.11324537885848103,"['RDKit_Chi2v', 'RDKit_SlogP_VSA6']",0.2141394072732309,0.2835613274626808
3,0.5392762345620354,0.4289126312722228,0.08563440081600243,"['RDKit_Chi2v', 'RDKit_PEOE_VSA1', 'RDKit_SlogP_VSA6']",0.17988181165522876,0.3043972214637258
4,0.6244010858816472,0.5015080471746154,0.11226830392126978,"['RDKit_BCUT2D_LOGPHI', 'RDKit_Chi2v', 'RDKit_PEOE_VSA1', 'RDKit_SlogP_VSA6']",0.2962358399862278,0.3988719435804216
5,0.6487246439818284,0.510550677967759,0.037344456820011314,"['RDKit_BCUT2D_LOGPHI', 'RDKit_Chi2v', 'RDKit_PEOE_VSA1', 'RDKit_SlogP_VSA11', 'RDKit_SlogP_VSA6']",0.2926575739181593,0.40160412594295913
6,0.6977773239808334,0.5221069230155283,0.06403370466391671,"['RDKit_BCUT2D_LOGPHI', 'RDKit_Chi2v', 'RDKit_PEOE_VSA1', 'RDKit_SlogP_VSA10', 'RDKit_SlogP_VSA11', 'RDKit_SlogP_VSA6']",0.42123693928389283,0.47167193114971057
7,0.712671322573389,0.5403528229911702,0.07433614310173375,"['RDKit_BCUT2D_LOGPHI', 'RDKit_Chi2v', 'RDKit_NumHeteroatoms', 'RDKit_PEOE_VSA1', 'RDKit_SlogP_VSA10', 'RDKit_SlogP_VSA11', 'RDKit_SlogP_VSA6']",0.4772885255178254,0.5088206742544978
8,0.7381951304509587,0.5559419342741287,0.06920347716216427,"['RDKit_BCUT2D_LOGPHI', 'RDKit_BalabanJ', 'RDKit_Chi2v', 'RDKit_NumHeteroatoms', 'RDKit_PEOE_VSA1', 'RDKit_SlogP_VSA10', 'RDKit_SlogP_VSA11', 'RDKit_SlogP_VSA6']",0.4830722540547079,0.5195070941644183
9,0.7347143424170384,0.5579452994071913,0.07139189606245126,"['RDKit_BCUT2D_LOGPHI', 'RDKit_BalabanJ', 'RDKit_Chi2v', 'RDKit_NumHeteroatoms', 'RDKit_PEOE_VSA1', 'RDKit_SlogP_VSA10', 'RDKit_SlogP_VSA11', 'RDKit_SlogP_VSA6', 'RDKit_fr_ether']",0.42605879357563914,0.4920020464914152
10,0.7354221084746548,0.562353362261169,0.07131946732963876,"['RDKit_BCUT2D_CHGLO', 'RDKit_BCUT2D_LOGPHI', 'RDKit_BalabanJ', 'RDKit_Chi2v', 'RDKit_NumHeteroatoms', 'RDKit_PEOE_VSA1', 'RDKit_SlogP_VSA10', 'RDKit_SlogP_VSA11', 'RDKit_SlogP_VSA6', 'RDKit_fr_ether']",0.42893454802721886,0.49564395514419396
