compound_id,split,leverage,standardized_residual,h_star,applicability_domain,in_domain
compound_79,train,0.03064910955988528,-1.43577180399502,0.13725490196078433,in_domain,True
compound_67,train,0.04882817669923376,-0.9904090610053478,0.13725490196078433,in_domain,True
compound_38,train,0.030028162198600248,-1.007758441782192,0.13725490196078433,in_domain,True
compound_20,train,0.018413858361423483,-1.4663116746071243,0.13725490196078433,in_domain,True
compound_2,train,0.015214857874640731,-1.255310762603598,0.13725490196078433,in_domain,True
compound_80,train,0.10813998003403166,-0.1675565834377794,0.13725490196078433,in_domain,True
compound_50,train,0.047738834708794795,-0.2705493729989354,0.13725490196078433,in_domain,True
compound_137,train,0.06175750133588913,-3.2237310483088426,0.13725490196078433,response_outlier,False
compound_63,train,0.062477068434939505,-0.16716854734906308,0.13725490196078433,in_domain,True
compound_7,train,0.04632387041174684,-0.6944447101763566,0.13725490196078433,in_domain,True
compound_76,train,0.03718144847725309,-0.7713727820998154,0.13725490196078433,in_domain,True
compound_31,train,0.08592501654787763,-0.28361887213530457,0.13725490196078433,in_domain,True
compound_101,train,0.04382406769738063,-0.3951694694447913,0.13725490196078433,in_domain,True
compound_18,train,0.14578522345449438,-0.006057953375802031,0.13725490196078433,high_leverage,False
compound_121,train,0.04144133654880913,-0.4424093179037971,0.13725490196078433,in_domain,True
compound_128,train,0.12294406185935959,-0.16842615807778386,0.13725490196078433,in_domain,True
compound_10,train,0.03357864681935829,-0.39843708524795424,0.13725490196078433,in_domain,True
compound_72,train,0.030931139380752287,-0.23729658110647717,0.13725490196078433,in_domain,True
compound_14,train,0.043118110418491125,-0.5813433215800473,0.13725490196078433,in_domain,True
compound_51,train,0.045922676339883894,-0.06533733368580533,0.13725490196078433,in_domain,True
compound_59,train,0.03875645101156572,-0.16835007666327384,0.13725490196078433,in_domain,True
compound_77,train,0.032342942647170136,-0.3663820695719613,0.13725490196078433,in_domain,True
compound_47,train,0.03211955437571207,-0.4996165669165099,0.13725490196078433,in_domain,True
compound_160,train,0.02549373251682421,-0.16805057988846142,0.13725490196078433,in_domain,True
compound_183,train,0.027188157521204057,-0.2908886330400924,0.13725490196078433,in_domain,True
compound_48,train,0.06848551230583229,0.16821708661792215,0.13725490196078433,in_domain,True
compound_127,train,0.024507209314400837,-0.7242354566772795,0.13725490196078433,in_domain,True
compound_168,train,0.026540854853139374,-0.3711956772289878,0.13725490196078433,in_domain,True
compound_9,train,0.03367831382549909,-0.0005497208591686697,0.13725490196078433,in_domain,True
compound_118,train,0.01911015800544506,-0.4658540257496838,0.13725490196078433,in_domain,True
compound_75,train,0.033642979773034744,-0.12359074240119503,0.13725490196078433,in_domain,True
compound_35,train,0.020593239671614406,-0.35712800334487654,0.13725490196078433,in_domain,True
compound_133,train,0.28859439602294806,-0.16826815405763695,0.13725490196078433,high_leverage,False
compound_139,train,0.13323658235904587,-0.3755284860413116,0.13725490196078433,in_domain,True
compound_15,train,0.04383984192422179,0.16746088970654874,0.13725490196078433,in_domain,True
compound_4,train,0.0222166083540701,-0.41134226444660704,0.13725490196078433,in_domain,True
compound_26,train,0.030696283265538114,-0.06321557839952857,0.13725490196078433,in_domain,True
compound_113,train,0.017144621448319877,-0.16760170591646004,0.13725490196078433,in_domain,True
compound_174,train,0.026365960835705533,-0.2870261636801702,0.13725490196078433,in_domain,True
compound_135,train,0.030316978214893524,0.1376166777570722,0.13725490196078433,in_domain,True
compound_83,train,0.0176869010354993,-0.2107332990199009,0.13725490196078433,in_domain,True
compound_70,train,0.07323320640407216,-0.16808772199806957,0.13725490196078433,in_domain,True
compound_33,train,0.032314886324283254,-0.047194878072478644,0.13725490196078433,in_domain,True
compound_99,train,0.02069139431473791,-0.326520975398,0.13725490196078433,in_domain,True
compound_84,train,0.025188842572069707,-0.1677790964626364,0.13725490196078433,in_domain,True
compound_19,train,0.033768032723285685,0.16551181518385766,0.13725490196078433,in_domain,True
compound_180,train,0.18065308037295702,-0.31667531428457285,0.13725490196078433,high_leverage,False
compound_90,train,0.04788724048469391,0.16782460042337832,0.13725490196078433,in_domain,True
compound_112,train,0.022968601505622393,0.07900280874365921,0.13725490196078433,in_domain,True
compound_37,train,0.06991463242786948,0.2549149854412191,0.13725490196078433,in_domain,True
compound_36,train,0.16501605330376973,-0.16776995711444573,0.13725490196078433,high_leverage,False
compound_161,train,0.046238074966343766,0.6430981066792926,0.13725490196078433,in_domain,True
compound_89,train,0.029846794091687383,-0.16804952053126132,0.13725490196078433,in_domain,True
compound_125,train,0.02608277340731694,-0.2516370840582277,0.13725490196078433,in_domain,True
compound_54,train,0.02151201015670759,-0.16792870405770707,0.13725490196078433,in_domain,True
compound_176,train,0.048359147286022176,-0.1683458328517818,0.13725490196078433,in_domain,True
compound_177,train,0.0745240892942258,-0.16776439864550477,0.13725490196078433,in_domain,True
compound_95,train,0.023303638563877172,-0.16884843070405334,0.13725490196078433,in_domain,True
compound_116,train,0.023368253737021435,-0.42389986578025046,0.13725490196078433,in_domain,True
compound_164,train,0.04413364336313793,0.10902602606282263,0.13725490196078433,in_domain,True
compound_126,train,0.02769611609432581,0.13211393558213277,0.13725490196078433,in_domain,True
compound_0,train,0.09000043888677729,0.04984279745507399,0.13725490196078433,in_domain,True
compound_32,train,0.03064911460721107,0.49423352672480003,0.13725490196078433,in_domain,True
compound_88,train,0.015408409725560512,0.16819154430591024,0.13725490196078433,in_domain,True
compound_110,train,0.024037672163009345,0.41333671968201663,0.13725490196078433,in_domain,True
compound_165,train,0.07588421108575973,0.16822267076586886,0.13725490196078433,in_domain,True
compound_8,train,0.02118532823927463,0.12459243613540723,0.13725490196078433,in_domain,True
compound_58,train,0.021161060876222392,-0.5773428515318619,0.13725490196078433,in_domain,True
compound_122,train,0.021072569650703376,0.16824100814580512,0.13725490196078433,in_domain,True
compound_96,train,0.023850593278537478,0.12054873140468647,0.13725490196078433,in_domain,True
compound_13,train,0.028551358427890673,-0.07023339810305632,0.13725490196078433,in_domain,True
compound_78,train,0.026629206711436315,0.16746970402602718,0.13725490196078433,in_domain,True
compound_23,train,0.031160799570956917,-0.16765788318765834,0.13725490196078433,in_domain,True
compound_16,train,0.02482740774742159,0.31488711301244743,0.13725490196078433,in_domain,True
compound_102,train,0.02617715748389929,-0.31019503318542546,0.13725490196078433,in_domain,True
compound_28,train,0.05874611491352742,-0.16740207462034262,0.13725490196078433,in_domain,True
compound_173,train,0.03191679185047665,0.7151648519177212,0.13725490196078433,in_domain,True
compound_74,train,0.05177182765011661,0.04921698955079245,0.13725490196078433,in_domain,True
compound_132,train,0.06324502436976981,0.055029309475944525,0.13725490196078433,in_domain,True
compound_162,train,0.07079439574439111,-0.16725547858068063,0.13725490196078433,in_domain,True
compound_3,train,0.018379487697149227,-0.029941688276381828,0.13725490196078433,in_domain,True
compound_138,train,0.08261202315622886,0.03362370661901059,0.13725490196078433,in_domain,True
compound_178,train,0.1340962706714917,0.1679936051312467,0.13725490196078433,in_domain,True
compound_55,train,0.08019298802672385,-0.012827718473124503,0.13725490196078433,in_domain,True
compound_111,train,0.031988002057321156,1.1947929821901475,0.13725490196078433,in_domain,True
