rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'C': 1.0, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.6969216683160393,0.5259984301662606,0.07388845179954928,0.0,0.0,0.0,0.0,0.17092323814977872,True
2,"{'C': 1.0, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'rbf'}",0.6980226148265689,0.5235704972415578,0.065676012657636,0.0,0.0,0.0,0.0,0.1744521175850111,False
3,"{'C': 1.0, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7002949238026821,0.5221069230155283,0.06403370466391671,0.0,0.0,0.0,0.0,0.1781880007871538,False
4,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'rbf'}",0.8647322735369467,0.5072381764478304,0.08308704856704682,0.0,0.0,0.0,0.0,0.3574940970891163,False
5,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8670713138781112,0.5060980863768398,0.07834559610667494,0.0,0.0,0.0,0.0,0.36097322750127137,False
6,"{'C': 10.0, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.8606410738799084,0.49756760431346125,0.09417526255282292,0.0,0.0,0.0,0.0,0.36307346956644715,False
7,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.3858609405231002,0.3263374886132631,0.04106533416360418,0.0,0.0,0.0,0.0,0.0595234519098371,False
8,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.3720799386810754,0.32504586070146474,0.046763989024454285,0.0,0.0,0.0,0.0,0.04703407797961068,False
9,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'rbf'}",0.37717291294770244,0.3238827193665244,0.04444860737220371,0.0,0.0,0.0,0.0,0.053290193581178036,False
10,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.42283591453323977,0.30423985221767375,0.14357217066085523,0.0,0.0,0.0,0.0,0.11859606231556602,False
11,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 0.01, 'kernel': 'rbf'}",0.42308520336672756,0.30117092009694446,0.14223853126342217,0.0,0.0,0.0,0.0,0.1219142832697831,False
12,"{'C': 10.0, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.42194885857943587,0.2933112673708667,0.14965669692890415,0.0,0.0,0.0,0.0,0.12863759120856916,False
13,"{'C': 10.0, 'epsilon': 0.1, 'gamma': 0.005, 'kernel': 'rbf'}",0.32081721800390006,0.23054178016366705,0.10841212263252462,0.0,0.0,0.0,0.0,0.09027543784023301,False
14,"{'C': 1.0, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.27760962775871284,0.22528502426004532,0.07675652056074958,0.0,0.0,0.0,0.0,0.05232460349866752,False
15,"{'C': 1.0, 'epsilon': 0.05, 'gamma': 0.01, 'kernel': 'rbf'}",0.27478174024750696,0.22176429673531944,0.08249008362070777,0.0,0.0,0.0,0.0,0.05301744351218751,False
16,"{'C': 10.0, 'epsilon': 0.01, 'gamma': 0.005, 'kernel': 'rbf'}",0.31765115898227625,0.2215326448028403,0.12078822425191503,0.0,0.0,0.0,0.0,0.09611851417943595,False
17,"{'C': 10.0, 'epsilon': 0.05, 'gamma': 0.005, 'kernel': 'rbf'}",0.3156672935377375,0.21703454234087002,0.11709413806022899,0.0,0.0,0.0,0.0,0.09863275119686746,False
18,"{'C': 1.0, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.2724403740308015,0.21325385848363831,0.08721994062774578,0.0,0.0,0.0,0.0,0.0591865155471632,False
19,"{'C': 1.0, 'epsilon': 0.01, 'gamma': 0.005, 'kernel': 'rbf'}",0.24231109649473243,0.20851834111968892,0.06757111850404326,0.0,0.0,0.0,0.0,0.033792755375043504,False
20,"{'C': 1.0, 'epsilon': 0.05, 'gamma': 0.005, 'kernel': 'rbf'}",0.23791799015100706,0.2026974618915221,0.06798066614358199,0.0,0.0,0.0,0.0,0.03522052825948496,False
21,"{'C': 1.0, 'epsilon': 0.1, 'gamma': 0.005, 'kernel': 'rbf'}",0.23859305173193684,0.20128290239520066,0.07084793646008142,0.0,0.0,0.0,0.0,0.03731014933673618,False
22,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.25926542001208586,0.18473489928874753,0.10919364231623287,0.0,0.0,0.0,0.0,0.07453052072333832,False
23,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.005, 'kernel': 'linear'}",0.25926542001208586,0.18473489928874753,0.10919364231623287,0.0,0.0,0.0,0.0,0.07453052072333832,False
24,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.25926542001208586,0.18473489928874753,0.10919364231623287,0.0,0.0,0.0,0.0,0.07453052072333832,False
25,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 'scale', 'kernel': 'linear'}",0.2549648831791525,0.17608609070384432,0.11672646394756729,0.0,0.0,0.0,0.0,0.07887879247530818,False
26,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 0.005, 'kernel': 'linear'}",0.2549648831791525,0.17608609070384432,0.11672646394756729,0.0,0.0,0.0,0.0,0.07887879247530818,False
27,"{'C': 0.1, 'epsilon': 0.05, 'gamma': 0.01, 'kernel': 'linear'}",0.2549648831791525,0.17608609070384432,0.11672646394756729,0.0,0.0,0.0,0.0,0.07887879247530818,False
28,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.2541328858320346,0.17187434400414878,0.11701005457846102,0.0,0.0,0.0,0.0,0.0822585418278858,False
29,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 0.005, 'kernel': 'linear'}",0.2541328858320346,0.17187434400414878,0.11701005457846102,0.0,0.0,0.0,0.0,0.0822585418278858,False
