run_id,representation,feature_selection_method,model,hyperparameters,feature_count,train_r2,train_rmse,train_mae,cv_r2,cv_rmse,cv_mae,cv_r2_std,train_cv_r2_gap,val_r2,val_rmse,val_mae,runtime_seconds,status,observed_vs_predicted,williams,residuals,cv_predictions,test_predictions,config,pipeline,is_winner
c6dc290a4a1b__random_forest__ga,RDKit,ga,RandomForestRegressor,"{""bootstrap"": false, ""criterion"": ""squared_error"", ""max_depth"": 5, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",6,0.733866,0.500210,0.322909,0.534286,0.000000,0.000000,0.060579,0.343049,0.486991,0.695564,0.578039,1.894227,completed,plots/c6dc290a4a1b__random_forest__ga_observed_vs_predicted.png,plots/c6dc290a4a1b__random_forest__ga_williams.png,plots/c6dc290a4a1b__random_forest__ga_residuals.png,predictions/c6dc290a4a1b__random_forest__ga_cv_predictions.csv,predictions/c6dc290a4a1b__random_forest__ga_test_predictions.csv,configs/c6dc290a4a1b__random_forest__ga_config.json,models/c6dc290a4a1b__random_forest__ga_pipeline.joblib,False
c6dc290a4a1b__random_forest__sfs_subset,RDKit,sfs_subset,RandomForestRegressor,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": 10, ""max_features"": ""sqrt"", ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",6,0.932095,0.252669,0.199925,0.538443,0.643912,0.495418,0.068487,0.386402,0.511149,0.678990,0.556112,32.989495,completed,plots/c6dc290a4a1b__random_forest__sfs_subset_observed_vs_predicted.png,plots/c6dc290a4a1b__random_forest__sfs_subset_williams.png,plots/c6dc290a4a1b__random_forest__sfs_subset_residuals.png,predictions/c6dc290a4a1b__random_forest__sfs_subset_cv_predictions.csv,predictions/c6dc290a4a1b__random_forest__sfs_subset_test_predictions.csv,configs/c6dc290a4a1b__random_forest__sfs_subset_config.json,models/c6dc290a4a1b__random_forest__sfs_subset_pipeline.joblib,False
c6dc290a4a1b__random_forest__sfs_fixed_ga_plus2,RDKit,sfs_fixed_ga_plus2,RandomForestRegressor,"{""bootstrap"": false, ""criterion"": ""squared_error"", ""max_depth"": 5, ""max_features"": ""log2"", ""max_samples"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",8,0.846859,0.379444,0.304289,0.491431,0.680670,0.524717,0.063165,0.366965,0.430661,0.732758,0.592612,264.124402,completed,plots/c6dc290a4a1b__random_forest__sfs_fixed_ga_plus2_observed_vs_predicted.png,plots/c6dc290a4a1b__random_forest__sfs_fixed_ga_plus2_williams.png,plots/c6dc290a4a1b__random_forest__sfs_fixed_ga_plus2_residuals.png,predictions/c6dc290a4a1b__random_forest__sfs_fixed_ga_plus2_cv_predictions.csv,predictions/c6dc290a4a1b__random_forest__sfs_fixed_ga_plus2_test_predictions.csv,configs/c6dc290a4a1b__random_forest__sfs_fixed_ga_plus2_config.json,models/c6dc290a4a1b__random_forest__sfs_fixed_ga_plus2_pipeline.joblib,False
c6dc290a4a1b__pls_regression__ga,RDKit,ga,PLSRegression,"{""max_iter"": 100, ""n_components"": 1, ""scale"": false}",1,0.280630,0.822391,0.642949,0.239090,0.000000,0.000000,0.124802,0.041987,0.150820,0.894901,0.704375,36.311836,completed,plots/c6dc290a4a1b__pls_regression__ga_observed_vs_predicted.png,plots/c6dc290a4a1b__pls_regression__ga_williams.png,plots/c6dc290a4a1b__pls_regression__ga_residuals.png,predictions/c6dc290a4a1b__pls_regression__ga_cv_predictions.csv,predictions/c6dc290a4a1b__pls_regression__ga_test_predictions.csv,configs/c6dc290a4a1b__pls_regression__ga_config.json,models/c6dc290a4a1b__pls_regression__ga_pipeline.joblib,False
c6dc290a4a1b__pls_regression__sfs_fixed_ga_plus2,RDKit,sfs_fixed_ga_plus2,PLSRegression,"{""max_iter"": 100, ""n_components"": 2, ""scale"": false}",3,0.368030,0.770815,0.597716,0.316284,0.000000,0.000000,0.139249,0.052574,0.050828,0.946123,0.711253,33.832279,completed,plots/c6dc290a4a1b__pls_regression__sfs_fixed_ga_plus2_observed_vs_predicted.png,plots/c6dc290a4a1b__pls_regression__sfs_fixed_ga_plus2_williams.png,plots/c6dc290a4a1b__pls_regression__sfs_fixed_ga_plus2_residuals.png,predictions/c6dc290a4a1b__pls_regression__sfs_fixed_ga_plus2_cv_predictions.csv,predictions/c6dc290a4a1b__pls_regression__sfs_fixed_ga_plus2_test_predictions.csv,configs/c6dc290a4a1b__pls_regression__sfs_fixed_ga_plus2_config.json,models/c6dc290a4a1b__pls_regression__sfs_fixed_ga_plus2_pipeline.joblib,False
c6dc290a4a1b__extra_trees_regressor__ga,RDKit,ga,ExtraTreesRegressor,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",8,0.925815,0.264095,0.188245,0.526929,0.654630,0.486675,0.092938,0.421084,0.651226,0.573518,0.458334,313.080988,completed,plots/c6dc290a4a1b__extra_trees_regressor__ga_observed_vs_predicted.png,plots/c6dc290a4a1b__extra_trees_regressor__ga_williams.png,plots/c6dc290a4a1b__extra_trees_regressor__ga_residuals.png,predictions/c6dc290a4a1b__extra_trees_regressor__ga_cv_predictions.csv,predictions/c6dc290a4a1b__extra_trees_regressor__ga_test_predictions.csv,configs/c6dc290a4a1b__extra_trees_regressor__ga_config.json,models/c6dc290a4a1b__extra_trees_regressor__ga_pipeline.joblib,False
c6dc290a4a1b__extra_trees_regressor__sfs_subset,RDKit,sfs_subset,ExtraTreesRegressor,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",8,0.921958,0.270873,0.191665,0.560482,0.628038,0.476423,0.111129,0.382470,0.674236,0.554277,0.461710,31.530772,completed,plots/c6dc290a4a1b__extra_trees_regressor__sfs_subset_observed_vs_predicted.png,plots/c6dc290a4a1b__extra_trees_regressor__sfs_subset_williams.png,plots/c6dc290a4a1b__extra_trees_regressor__sfs_subset_residuals.png,predictions/c6dc290a4a1b__extra_trees_regressor__sfs_subset_cv_predictions.csv,predictions/c6dc290a4a1b__extra_trees_regressor__sfs_subset_test_predictions.csv,configs/c6dc290a4a1b__extra_trees_regressor__sfs_subset_config.json,models/c6dc290a4a1b__extra_trees_regressor__sfs_subset_pipeline.joblib,False
c6dc290a4a1b__extra_trees_regressor__sfs_fixed_ga_plus2,RDKit,sfs_fixed_ga_plus2,ExtraTreesRegressor,"{""bootstrap"": false, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",10,0.944383,0.228668,0.163928,0.535453,0.643358,0.486402,0.111922,0.425973,0.664191,0.562757,0.453168,298.843445,completed,plots/c6dc290a4a1b__extra_trees_regressor__sfs_fixed_ga_plus2_observed_vs_predicted.png,plots/c6dc290a4a1b__extra_trees_regressor__sfs_fixed_ga_plus2_williams.png,plots/c6dc290a4a1b__extra_trees_regressor__sfs_fixed_ga_plus2_residuals.png,predictions/c6dc290a4a1b__extra_trees_regressor__sfs_fixed_ga_plus2_cv_predictions.csv,predictions/c6dc290a4a1b__extra_trees_regressor__sfs_fixed_ga_plus2_test_predictions.csv,configs/c6dc290a4a1b__extra_trees_regressor__sfs_fixed_ga_plus2_config.json,models/c6dc290a4a1b__extra_trees_regressor__sfs_fixed_ga_plus2_pipeline.joblib,False
c6dc290a4a1b__svr__ga,RDKit,ga,SVR,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",6,0.527451,0.666539,0.444277,0.406400,0.733445,0.527171,0.115222,0.122290,0.194188,0.871750,0.661155,44.085118,completed,plots/c6dc290a4a1b__svr__ga_observed_vs_predicted.png,plots/c6dc290a4a1b__svr__ga_williams.png,plots/c6dc290a4a1b__svr__ga_residuals.png,predictions/c6dc290a4a1b__svr__ga_cv_predictions.csv,predictions/c6dc290a4a1b__svr__ga_test_predictions.csv,configs/c6dc290a4a1b__svr__ga_config.json,models/c6dc290a4a1b__svr__ga_pipeline.joblib,False
c6dc290a4a1b__svr__sfs_subset,RDKit,sfs_subset,SVR,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",6,0.697777,0.533047,0.346192,0.522107,0.663368,0.478596,0.064034,0.178188,0.421237,0.738797,0.567965,20.090917,completed,plots/c6dc290a4a1b__svr__sfs_subset_observed_vs_predicted.png,plots/c6dc290a4a1b__svr__sfs_subset_williams.png,plots/c6dc290a4a1b__svr__sfs_subset_residuals.png,predictions/c6dc290a4a1b__svr__sfs_subset_cv_predictions.csv,predictions/c6dc290a4a1b__svr__sfs_subset_test_predictions.csv,configs/c6dc290a4a1b__svr__sfs_subset_config.json,models/c6dc290a4a1b__svr__sfs_subset_pipeline.joblib,False
c6dc290a4a1b__svr__sfs_fixed_ga_plus2,RDKit,sfs_fixed_ga_plus2,SVR,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",8,0.733866,0.500210,0.322909,0.534902,0.654670,0.455722,0.076964,0.200894,0.486991,0.695564,0.578039,41.034214,completed,plots/c6dc290a4a1b__svr__sfs_fixed_ga_plus2_observed_vs_predicted.png,plots/c6dc290a4a1b__svr__sfs_fixed_ga_plus2_williams.png,plots/c6dc290a4a1b__svr__sfs_fixed_ga_plus2_residuals.png,predictions/c6dc290a4a1b__svr__sfs_fixed_ga_plus2_cv_predictions.csv,predictions/c6dc290a4a1b__svr__sfs_fixed_ga_plus2_test_predictions.csv,configs/c6dc290a4a1b__svr__sfs_fixed_ga_plus2_config.json,models/c6dc290a4a1b__svr__sfs_fixed_ga_plus2_pipeline.joblib,True
c6dc290a4a1b__k_neighbors_regressor__ga,RDKit,ga,KNeighborsRegressor,"{""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",1,0.568579,0.636873,0.492311,0.336742,0.765461,0.610493,0.139138,0.218671,0.314325,0.804145,0.599442,84.009030,completed,plots/c6dc290a4a1b__k_neighbors_regressor__ga_observed_vs_predicted.png,plots/c6dc290a4a1b__k_neighbors_regressor__ga_williams.png,plots/c6dc290a4a1b__k_neighbors_regressor__ga_residuals.png,predictions/c6dc290a4a1b__k_neighbors_regressor__ga_cv_predictions.csv,predictions/c6dc290a4a1b__k_neighbors_regressor__ga_test_predictions.csv,configs/c6dc290a4a1b__k_neighbors_regressor__ga_config.json,models/c6dc290a4a1b__k_neighbors_regressor__ga_pipeline.joblib,False
c6dc290a4a1b__k_neighbors_regressor__sfs_fixed_ga_plus2,RDKit,sfs_fixed_ga_plus2,KNeighborsRegressor,"{""metric"": ""minkowski"", ""n_neighbors"": 5, ""p"": 2, ""weights"": ""uniform""}",3,0.643118,0.579247,0.448226,0.327867,0.761422,0.606606,0.217611,0.294119,0.160757,0.889649,0.693305,73.891657,completed,plots/c6dc290a4a1b__k_neighbors_regressor__sfs_fixed_ga_plus2_observed_vs_predicted.png,plots/c6dc290a4a1b__k_neighbors_regressor__sfs_fixed_ga_plus2_williams.png,plots/c6dc290a4a1b__k_neighbors_regressor__sfs_fixed_ga_plus2_residuals.png,predictions/c6dc290a4a1b__k_neighbors_regressor__sfs_fixed_ga_plus2_cv_predictions.csv,predictions/c6dc290a4a1b__k_neighbors_regressor__sfs_fixed_ga_plus2_test_predictions.csv,configs/c6dc290a4a1b__k_neighbors_regressor__sfs_fixed_ga_plus2_config.json,models/c6dc290a4a1b__k_neighbors_regressor__sfs_fixed_ga_plus2_pipeline.joblib,False
