generation,best_fitness,avg_fitness
1,-8.050311044767938,-10.028725328701862
2,-7.951849758961973,-9.302510699551455
3,-7.951849758961973,-9.288257924983975
4,-7.8377502276002735,-8.839349168535527
5,-7.8377502276002735,-8.431990751849844
6,-7.471242457765719,-8.088552073096507
7,-7.207592274210144,-8.203770283040074
8,-7.207592274210143,-7.974544009474146
9,-7.117022144227379,-7.886144972553409
10,-7.059893012766508,-7.544182077643308
11,-6.6814473275095505,-7.403505598160067
12,-6.6814473275095505,-7.289938470582902
13,-6.681447327509551,-7.256888249390667
14,-6.6814473275095505,-7.169853780361941
15,-6.6814473275095505,-7.149266498206944
16,-6.6814473275095505,-7.04277756698041
17,-6.681447327509549,-6.768357991209268
18,-6.681447327509549,-6.684931288542887
19,-6.665624777446663,-6.729465724177694
20,-6.601234123841356,-6.705365731047469
21,-6.599331756934855,-6.780603880918805
22,-6.599331756934855,-6.768682168249676
23,-6.591272180335231,-6.848983446750023
24,-6.591272180335231,-6.887761173875345
25,-6.591272180335233,-6.836022565306184
26,-6.591272180335231,-6.8377014905303835
27,-6.591272180335229,-6.7441668537111354
28,-6.591272180335229,-6.671826256473634
29,-6.562844695649772,-6.70868313733258
30,-6.56284469564977,-6.589502003816099
