rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8773353901165943,0.5342860366128532,0.06057879997137816,0.0,0.0,0.0,0.0,0.3430493535037411,True
2,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8773353901165943,0.5342860366128532,0.06057879997137808,0.0,0.0,0.0,0.0,0.3430493535037411,False
3,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9986234632334747,0.5317490288590708,0.0882190515724322,0.0,0.0,0.0,0.0,0.4668744343744039,False
4,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9986234632334747,0.5317490288590706,0.08821905157243236,0.0,0.0,0.0,0.0,0.4668744343744041,False
5,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9985391598854122,0.5251390961085527,0.0909151147968735,0.0,0.0,0.0,0.0,0.4734000637768595,False
6,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9985391598854122,0.5251390961085527,0.0909151147968735,0.0,0.0,0.0,0.0,0.4734000637768595,False
7,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8780853400898085,0.5234245427115672,0.0785585608342488,0.0,0.0,0.0,0.0,0.3546607973782413,False
8,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8780853400898081,0.5234245427115672,0.07855856083424878,0.0,0.0,0.0,0.0,0.35466079737824086,False
9,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9278456777924102,0.5223715461500056,0.08685977635768974,0.0,0.0,0.0,0.0,0.40547413164240464,False
10,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9278456777924102,0.5223715461500055,0.08685977635768975,0.0,0.0,0.0,0.0,0.40547413164240476,False
11,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9282331146567675,0.5196321807162869,0.08131631237260228,0.0,0.0,0.0,0.0,0.4086009339404806,False
12,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9282331146567675,0.5196321807162868,0.08131631237260221,0.0,0.0,0.0,0.0,0.4086009339404807,False
13,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8927811497989013,0.5099583753816908,0.08358068608571591,0.0,0.0,0.0,0.0,0.3828227744172106,False
14,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8927811497989013,0.5099583753816905,0.0835806860857158,0.0,0.0,0.0,0.0,0.3828227744172108,False
15,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8926656551739762,0.5071194375159875,0.08899541022961815,0.0,0.0,0.0,0.0,0.3855462176579887,False
16,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8926656551739762,0.5071194375159874,0.08899541022961811,0.0,0.0,0.0,0.0,0.3855462176579888,False
17,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8154507792373729,0.498003343484812,0.08090106691453643,0.0,0.0,0.0,0.0,0.31744743575256085,False
18,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8154507792373729,0.498003343484812,0.08090106691453647,0.0,0.0,0.0,0.0,0.31744743575256085,False
19,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8187954909552932,0.49639017525124923,0.08404273061865307,0.0,0.0,0.0,0.0,0.322405315704044,False
20,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8187954909552932,0.4963901752512491,0.08404273061865314,0.0,0.0,0.0,0.0,0.3224053157040441,False
21,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8271646992742671,0.4951390623740223,0.07929809143537118,0.0,0.0,0.0,0.0,0.3320256369002448,False
22,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8271646992742671,0.4951390623740223,0.07929809143537114,0.0,0.0,0.0,0.0,0.3320256369002448,False
23,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8271814689059509,0.49475619268040666,0.07757267387174302,0.0,0.0,0.0,0.0,0.33242527622554424,False
24,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8271814689059509,0.4947561926804066,0.07757267387174305,0.0,0.0,0.0,0.0,0.3324252762255443,False
25,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.7919013777921592,0.49153470244989805,0.08554015349483196,0.0,0.0,0.0,0.0,0.30036667534226114,False
26,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.7919013777921592,0.49153470244989794,0.08554015349483192,0.0,0.0,0.0,0.0,0.30036667534226125,False
27,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.7919013777921592,0.49153470244989794,0.08554015349483197,0.0,0.0,0.0,0.0,0.30036667534226125,False
28,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.7919013777921593,0.49153470244989783,0.08554015349483199,0.0,0.0,0.0,0.0,0.30036667534226147,False
29,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.7924809294594118,0.48757861390641455,0.08488945520280385,0.0,0.0,0.0,0.0,0.3049023155529973,False
30,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.7924809294594118,0.48757861390641455,0.0848894552028039,0.0,0.0,0.0,0.0,0.3049023155529973,False
31,"{'bootstrap': False, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.7924809294594118,0.48757861390641455,0.08488945520280389,0.0,0.0,0.0,0.0,0.3049023155529973,False
