estimator,source,mean_cv_r2,holdout_val_r2,combined_r2,train_cv_r2_gap,status,acceptable,n_features,is_expansion
RandomForestRegressor,hpo_round_1,0.5342860366128532,0.5714954377783039,0.5528907371955786,0.3430493535037411,overfit,False,6,False
RandomForestRegressor (sfs_subset),baseline,0.5384432246983131,0.5111485386855952,0.5247958816919541,0.3864017986357452,overfit,False,6,True
RandomForestRegressor (sfs_fixed_ga_plus2),baseline,0.49143058774325443,0.4306609839995831,0.46104578587141876,0.3669653254805666,overfit,False,8,True
PLSRegression,hpo_round_1,0.23909047475804232,0.1508200497346487,0.19495526224634552,0.04198734750786662,underfit,False,1,False
PLSRegression (sfs_fixed_ga_plus2),hpo_round_1,0.31628437946934107,0.050827794639128565,0.18355608705423482,0.05257401394394645,underfit,False,3,True
ExtraTreesRegressor,baseline,0.5269288366355482,0.6512258866484701,0.5890773616420092,0.42108429311436024,overfit,False,8,False
ExtraTreesRegressor (sfs_subset),baseline,0.560481731271193,0.6742355360636729,0.617358633667433,0.3824698903730608,overfit,False,8,True
ExtraTreesRegressor (sfs_fixed_ga_plus2),baseline,0.5354534040389831,0.6641912530659828,0.599822328552483,0.4259730342061149,overfit,False,10,True
SVR,baseline,0.4064002563332033,0.19418765788275583,0.30029395710797957,0.12229037106770424,poor_performance,False,6,False
SVR (sfs_subset),baseline,0.5221069230155283,0.42123693928389283,0.47167193114971057,0.1781880007871538,overfit,False,6,True
SVR (sfs_fixed_ga_plus2),baseline,0.5349015521444443,0.48699124108799374,0.5109463966162191,0.2008941849199366,overfit,False,8,True
KNeighborsRegressor,baseline,0.3367418062380919,0.3143248779302582,0.32553334208417506,0.21867122572901732,overfit,False,1,False
KNeighborsRegressor (sfs_fixed_ga_plus2),baseline,0.3278671302602831,0.16075675990677352,0.2443119450835283,0.29411894029963376,unstable,False,3,True
