generation,best_fitness,avg_fitness
1,-8.23212554595264,-8.923472250203863
2,-7.938707339416557,-8.570331678112236
3,-7.938707339416557,-8.382580896462311
4,-7.898492921473463,-8.219022306622234
5,-7.806453588962983,-8.157570655834617
6,-7.806453588962981,-8.050189672335273
7,-7.806453588962979,-7.99370362467748
8,-7.806453588962979,-7.936067969930316
9,-7.806453588962979,-7.909018532076188
10,-7.806453588962979,-7.8758183786607265
11,-7.806453588962979,-7.837377016133687
12,-7.806453588962979,-7.806453588962982
13,-7.806453588962979,-7.8162679362727285
14,-7.806453588962979,-7.822219965564639
15,-7.806453588962979,-7.82651294438968
16,-7.806453588962979,-7.815669698925758
17,-7.806453588962979,-7.83943777189136
18,-7.806453588962979,-7.806453588962982
19,-7.806453588962979,-7.821489448338416
20,-7.806453588962979,-7.806453588962982
21,-7.806453588962979,-7.81736407695165
22,-7.806453588962979,-7.815468717680236
23,-7.806453588962979,-7.806453588962983
24,-7.806453588962979,-7.823834085352421
25,-7.806453588962979,-7.838052250053636
26,-7.806453588962979,-7.806453588962982
27,-7.806453588962979,-7.845620008008622
28,-7.806453588962979,-7.806453588962982
29,-7.806453588962979,-7.822835168456033
30,-7.806453588962979,-7.819254207900145
