rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 2, 'n_estimators': 100}",0.3975021273344592,0.31595541714859643,0.046791476792737714,0.0,0.0,0.0,0.0,0.08154671018586279,True
2,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 10, 'n_estimators': 100}",0.3975021273344592,0.3159554171485964,0.04679147679273762,0.0,0.0,0.0,0.0,0.08154671018586285,False
3,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 20, 'n_estimators': 100}",0.39750212733445917,0.3159554171485963,0.04679147679273768,0.0,0.0,0.0,0.0,0.08154671018586285,False
4,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 20, 'n_estimators': 100}",0.3975021273344591,0.3159554171485963,0.046791476792737666,0.0,0.0,0.0,0.0,0.08154671018586279,False
5,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 2, 'n_estimators': 100}",0.3975021273344591,0.3159554171485962,0.04679147679273771,0.0,0.0,0.0,0.0,0.0815467101858629,False
6,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 10, 'n_estimators': 100}",0.3975021273344592,0.3159554171485962,0.04679147679273769,0.0,0.0,0.0,0.0,0.08154671018586301,False
7,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 2, 'n_estimators': 200}",0.39073259166221447,0.3120454321212006,0.05072837727366129,0.0,0.0,0.0,0.0,0.07868715954101385,False
8,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 20, 'n_estimators': 200}",0.3907325916622145,0.3120454321212006,0.050728377273661286,0.0,0.0,0.0,0.0,0.0786871595410139,False
9,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 10, 'n_estimators': 200}",0.3907325916622145,0.3120454321212005,0.05072837727366125,0.0,0.0,0.0,0.0,0.07868715954101402,False
10,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 2, 'n_estimators': 200}",0.39073259166221447,0.3120454321212004,0.05072837727366115,0.0,0.0,0.0,0.0,0.07868715954101407,False
11,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 10, 'n_estimators': 200}",0.39073259166221447,0.3120454321212004,0.05072837727366127,0.0,0.0,0.0,0.0,0.07868715954101407,False
12,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 20, 'n_estimators': 200}",0.3907325916622145,0.31204543212120034,0.05072837727366124,0.0,0.0,0.0,0.0,0.07868715954101418,False
13,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 10, 'n_estimators': 300}",0.39004538651544246,0.31120978844413294,0.05163829288880975,0.0,0.0,0.0,0.0,0.07883559807130952,False
14,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 2, 'n_estimators': 300}",0.3900453865154425,0.3112097884441329,0.05163829288880992,0.0,0.0,0.0,0.0,0.07883559807130963,False
15,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 20, 'n_estimators': 300}",0.3900453865154425,0.3112097884441329,0.051638292888809945,0.0,0.0,0.0,0.0,0.07883559807130963,False
16,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 2, 'n_estimators': 300}",0.3900453865154425,0.31120978844413283,0.051638292888809875,0.0,0.0,0.0,0.0,0.07883559807130969,False
17,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 10, 'n_estimators': 300}",0.3900453865154425,0.31120978844413283,0.05163829288880981,0.0,0.0,0.0,0.0,0.07883559807130969,False
18,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 20, 'n_estimators': 300}",0.3900453865154425,0.3112097884441328,0.0516382928888099,0.0,0.0,0.0,0.0,0.07883559807130974,False
19,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 2, 'n_estimators': 300}",0.35806460402596835,0.2889531864236349,0.053889465075446015,0.0,0.0,0.0,0.0,0.06911141760233347,False
20,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 10, 'n_estimators': 300}",0.3580646040259684,0.2889531864236349,0.05388946507544602,0.0,0.0,0.0,0.0,0.06911141760233352,False
21,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 20, 'n_estimators': 300}",0.3580646040259684,0.2889531864236349,0.053889465075446036,0.0,0.0,0.0,0.0,0.06911141760233352,False
22,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 2, 'n_estimators': 300}",0.3580646040259684,0.2889531864236349,0.05388946507544603,0.0,0.0,0.0,0.0,0.06911141760233352,False
23,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 10, 'n_estimators': 300}",0.35806460402596824,0.2889531864236349,0.05388946507544595,0.0,0.0,0.0,0.0,0.06911141760233336,False
24,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 20, 'n_estimators': 300}",0.3580646040259684,0.2889531864236349,0.053889465075446,0.0,0.0,0.0,0.0,0.06911141760233352,False
25,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 2, 'n_estimators': 200}",0.35535771298667485,0.2880377383111141,0.050532501268792586,0.0,0.0,0.0,0.0,0.06731997467556072,False
26,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 15, 'min_samples_split': 2, 'n_estimators': 200}",0.3553577129866749,0.28803773831111407,0.050532501268792614,0.0,0.0,0.0,0.0,0.06731997467556083,False
