n_features,mean_train_r2,mean_cv_r2,std_cv_r2,selected_features,val_r2,combined_r2
1,0.8915903814044308,0.33122265911762067,0.2139890023645749,['RDKit_MaxAbsPartialCharge'],0.036544230526361354,0.183883444821991
2,0.901229618242551,0.43011118354254707,0.1351611903769507,"['RDKit_MaxAbsPartialCharge', 'RDKit_SMR_VSA6']",0.37659249780377957,0.4033518406731633
3,0.9135796069667007,0.46852341549204296,0.11145359366613608,"['RDKit_EState_VSA2', 'RDKit_MaxAbsPartialCharge', 'RDKit_SMR_VSA6']",0.39707927282585553,0.4328013441589492
4,0.9320967591762392,0.5100494393695959,0.09627507150441016,"['RDKit_BCUT2D_MWLOW', 'RDKit_EState_VSA2', 'RDKit_MaxAbsPartialCharge', 'RDKit_SMR_VSA6']",0.39058562792462914,0.4503175336471125
5,0.9333342213232338,0.5277714057332108,0.10200579630011597,"['RDKit_BCUT2D_MWLOW', 'RDKit_EState_VSA2', 'RDKit_MaxAbsPartialCharge', 'RDKit_SMR_VSA6', 'RDKit_fr_ether']",0.3685845642246012,0.448177984978906
6,0.9320954637305643,0.5384432246983131,0.0684872532844341,"['RDKit_BCUT2D_MWLOW', 'RDKit_EState_VSA2', 'RDKit_MaxAbsPartialCharge', 'RDKit_SMR_VSA6', 'RDKit_SlogP_VSA10', 'RDKit_fr_ether']",0.5111485386855952,0.5247958816919541
7,0.9243861027788711,0.5735837048759337,0.05204157433625434,"['RDKit_BCUT2D_MWLOW', 'RDKit_EState_VSA2', 'RDKit_MaxAbsPartialCharge', 'RDKit_SMR_VSA6', 'RDKit_SlogP_VSA10', 'RDKit_fr_NH2', 'RDKit_fr_ether']",0.477675314572088,0.5256295097240109
8,0.9276925106582791,0.5794047116330211,0.060866388638637706,"['RDKit_BCUT2D_MWLOW', 'RDKit_EState_VSA2', 'RDKit_MaxAbsPartialCharge', 'RDKit_SMR_VSA6', 'RDKit_SlogP_VSA10', 'RDKit_fr_NH2', 'RDKit_fr_bicyclic', 'RDKit_fr_ether']",0.5072536671142562,0.5433291893736387
9,0.9303365642725024,0.568721607854317,0.07408624548158535,"['RDKit_BCUT2D_MWLOW', 'RDKit_EState_VSA2', 'RDKit_MaxAbsPartialCharge', 'RDKit_NumAromaticHeterocycles', 'RDKit_SMR_VSA6', 'RDKit_SlogP_VSA10', 'RDKit_fr_NH2', 'RDKit_fr_bicyclic', 'RDKit_fr_ether']",0.479385683961119,0.5240536459077181
10,0.9296236497369376,0.5744678725175072,0.06394646168401166,"['RDKit_BCUT2D_MWLOW', 'RDKit_EState_VSA2', 'RDKit_MaxAbsPartialCharge', 'RDKit_NumAromaticHeterocycles', 'RDKit_SMR_VSA6', 'RDKit_SlogP_VSA10', 'RDKit_fr_Ar_NH', 'RDKit_fr_NH2', 'RDKit_fr_bicyclic', 'RDKit_fr_ether']",0.496517656648392,0.5354927645829496
