rank,params,mean_train_r2,mean_cv_r2,std_cv_r2,mean_train_rmse,mean_cv_rmse,mean_train_mae,mean_cv_mae,train_cv_r2_gap,is_best
1,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.93232214422253,0.5553322189911706,0.05970992111585309,0.0,0.0,0.0,0.0,0.37698992523135944,True
2,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.93232214422253,0.5553322189911705,0.059709921115853035,0.0,0.0,0.0,0.0,0.37698992523135955,False
3,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9329007896504475,0.5537621160733045,0.0724915922442188,0.0,0.0,0.0,0.0,0.37913867357714304,False
4,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9329007896504475,0.5537621160733045,0.07249159224421878,0.0,0.0,0.0,0.0,0.37913867357714304,False
5,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9314448885343424,0.5475720990124253,0.06640097544457632,0.0,0.0,0.0,0.0,0.38387278952191706,False
6,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9314448885343423,0.5475720990124252,0.06640097544457635,0.0,0.0,0.0,0.0,0.38387278952191706,False
7,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9312164280489041,0.5436788396559281,0.07040267737548642,0.0,0.0,0.0,0.0,0.38753758839297603,False
8,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9312164280489039,0.543678839655928,0.0704026773754865,0.0,0.0,0.0,0.0,0.3875375883929759,False
9,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7621838943636545,0.48612544109290595,0.08560070955694352,0.0,0.0,0.0,0.0,0.27605845327074857,False
10,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7621838943636545,0.48612544109290595,0.0856007095569434,0.0,0.0,0.0,0.0,0.27605845327074857,False
11,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7623896625053469,0.48096884201582607,0.07854513572970431,0.0,0.0,0.0,0.0,0.28142082048952083,False
12,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7623896625053469,0.48096884201582607,0.07854513572970424,0.0,0.0,0.0,0.0,0.28142082048952083,False
13,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7290668252288761,0.450887179248043,0.08171945045577207,0.0,0.0,0.0,0.0,0.2781796459808331,False
14,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7290668252288761,0.450887179248043,0.08171945045577213,0.0,0.0,0.0,0.0,0.2781796459808331,False
15,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7257041966549906,0.45008163918980737,0.0818951799447423,0.0,0.0,0.0,0.0,0.27562255746518327,False
16,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7257041966549906,0.45008163918980737,0.08189517994474228,0.0,0.0,0.0,0.0,0.27562255746518327,False
17,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 200}",0.6437077069231657,0.40991860732539454,0.1012742884467042,0.0,0.0,0.0,0.0,0.23378909959777117,False
18,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 200}",0.6437077069231658,0.40991860732539454,0.10127428844670415,0.0,0.0,0.0,0.0,0.23378909959777128,False
19,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 100}",0.6412277930886916,0.4045758241477212,0.09137007893067306,0.0,0.0,0.0,0.0,0.2366519689409704,False
20,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 100}",0.6412277930886917,0.404575824147721,0.09137007893067312,0.0,0.0,0.0,0.0,0.23665196894097074,False
21,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 200}",0.6416722837123139,0.3953859378304956,0.09953177178626336,0.0,0.0,0.0,0.0,0.2462863458818183,False
22,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 200}",0.6416722837123139,0.39538593783049547,0.09953177178626318,0.0,0.0,0.0,0.0,0.2462863458818184,False
23,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.6025425456613819,0.39440644400455105,0.10152425641013432,0.0,0.0,0.0,0.0,0.20813610165683083,False
24,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.602542545661382,0.39440644400455105,0.10152425641013427,0.0,0.0,0.0,0.0,0.20813610165683094,False
25,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.602428371069928,0.3924322782186703,0.10224879172895716,0.0,0.0,0.0,0.0,0.20999609285125764,False
26,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.602428371069928,0.3924322782186702,0.10224879172895715,0.0,0.0,0.0,0.0,0.20999609285125775,False
27,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 200}",0.6114566429282178,0.39113957696785306,0.09513395779658795,0.0,0.0,0.0,0.0,0.2203170659603647,False
28,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 200}",0.6114566429282178,0.39113957696785295,0.0951339577965879,0.0,0.0,0.0,0.0,0.22031706596036482,False
29,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.5899837795985776,0.3855080976961281,0.09812435198963507,0.0,0.0,0.0,0.0,0.20447568190244952,False
30,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.5899837795985777,0.3855080976961279,0.09812435198963503,0.0,0.0,0.0,0.0,0.2044756819024498,False
31,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.5906671950921215,0.38549615310291185,0.10024822889346094,0.0,0.0,0.0,0.0,0.20517104198920966,False
32,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.5906671950921215,0.38549615310291185,0.10024822889346091,0.0,0.0,0.0,0.0,0.20517104198920966,False
33,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 100}",0.6061852211998447,0.38326295706215163,0.08777428552694858,0.0,0.0,0.0,0.0,0.22292226413769312,False
34,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 100}",0.6061852211998447,0.3832629570621516,0.08777428552694864,0.0,0.0,0.0,0.0,0.22292226413769317,False
35,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 100}",0.6386962684284123,0.3816775220832988,0.10192736205937149,0.0,0.0,0.0,0.0,0.2570187463451135,False
36,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 100}",0.6386962684284123,0.38167752208329875,0.1019273620593715,0.0,0.0,0.0,0.0,0.25701874634511357,False
37,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.5951243197283016,0.3785704180925319,0.11487998518596729,0.0,0.0,0.0,0.0,0.2165539016357697,False
38,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.5951243197283018,0.3785704180925319,0.11487998518596729,0.0,0.0,0.0,0.0,0.21655390163576993,False
39,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.5943193531086735,0.37605919038331426,0.11052042301660815,0.0,0.0,0.0,0.0,0.2182601627253592,False
40,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.5943193531086735,0.37605919038331415,0.11052042301660807,0.0,0.0,0.0,0.0,0.2182601627253593,False
41,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 200}",0.5609824315340198,0.3752318951592206,0.09301063858296453,0.0,0.0,0.0,0.0,0.1857505363747992,False
42,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 200}",0.5609824315340198,0.37523189515922056,0.09301063858296449,0.0,0.0,0.0,0.0,0.18575053637479927,False
43,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 100}",0.5550308721329417,0.37073810465836393,0.09572096728437214,0.0,0.0,0.0,0.0,0.18429276747457773,False
44,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 100}",0.5550308721329417,0.3707381046583639,0.09572096728437215,0.0,0.0,0.0,0.0,0.1842927674745778,False
45,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 200}",0.5535157975731462,0.3685672220521906,0.09167723267885641,0.0,0.0,0.0,0.0,0.18494857552095556,False
46,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 200}",0.5535157975731462,0.3685672220521906,0.09167723267885639,0.0,0.0,0.0,0.0,0.18494857552095556,False
47,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.5781211924338904,0.3673320725913265,0.10635622107541716,0.0,0.0,0.0,0.0,0.21078911984256388,False
48,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.5781211924338904,0.36733207259132644,0.10635622107541716,0.0,0.0,0.0,0.0,0.21078911984256393,False
49,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 100}",0.5479134304709142,0.3655701173672704,0.0897560803072958,0.0,0.0,0.0,0.0,0.18234331310364382,False
50,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 15, 'n_estimators': 100}",0.5479134304709142,0.36557011736727035,0.08975608030729577,0.0,0.0,0.0,0.0,0.18234331310364388,False
51,"{'bootstrap': True, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'log2', 'max_samples': None, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.5766244494744373,0.3619818579014276,0.10721024004169553,0.0,0.0,0.0,0.0,0.21464259157300963,False
