compound_id,original_row_index,activity,activity_rank,split
compound_0,0,2.209,76,train
compound_1,1,3.611,153,train
compound_2,2,1.429,5,train
compound_3,3,2.5,100,train
compound_4,4,1.867,43,train
compound_5,5,2.903,133,train
compound_6,6,2.172,74,val
compound_7,7,1.503,11,train
compound_8,8,2.283,82,train
compound_9,9,1.808,35,train
compound_10,10,1.586,20,train
compound_11,11,1.659,24,val
compound_12,12,1.936,49,test
compound_13,13,2.316,87,train
compound_14,14,1.595,22,train
compound_15,15,1.863,42,train
compound_16,16,2.412,91,train
compound_17,17,2.107,64,val
compound_18,18,1.534,16,train
compound_19,19,2.021,56,train
compound_20,20,1.346,3,train
compound_21,21,2.635,120,train
compound_22,22,1.806,34,val
compound_23,23,2.401,90,train
compound_24,24,2.265,79,test
compound_25,25,1.52,14,val
compound_26,26,1.874,45,train
compound_27,27,2.838,128,train
compound_28,28,2.422,93,train
compound_29,29,4.005,168,train
compound_30,30,3.268,145,train
compound_31,31,1.511,13,train
compound_32,32,2.227,77,train
compound_33,33,1.977,52,train
compound_34,34,2.011,54,val
compound_35,35,1.829,38,train
compound_36,36,2.097,62,train
compound_37,37,2.092,61,train
compound_38,38,1.323,2,train
compound_39,39,3.612,154,val
compound_40,40,2.574,114,val
compound_41,41,3.983,167,train
compound_42,42,4.452,174,val
compound_43,43,3.045,139,test
compound_44,44,2.878,130,train
compound_45,45,3.122,141,train
compound_46,46,2.496,99,test
compound_47,47,1.706,27,train
compound_48,48,1.746,31,train
compound_49,49,2.898,132,train
compound_50,50,1.469,7,train
compound_51,51,1.647,23,train
compound_52,52,1.473,9,test
compound_53,53,3.176,142,train
compound_54,54,2.117,67,train
compound_55,55,2.53,103,train
compound_56,56,2.533,104,val
compound_57,57,2.584,115,train
compound_58,58,2.285,83,train
compound_59,59,1.664,25,train
compound_60,60,2.572,113,train
compound_61,61,3.899,163,train
compound_62,62,2.352,89,test
compound_63,63,1.499,10,train
compound_64,64,5.184,189,test
compound_65,65,4.641,180,train
compound_66,66,3.555,150,train
compound_67,67,1.246,1,train
compound_68,68,3.968,166,train
compound_69,69,3.059,140,train
compound_70,70,1.951,51,train
compound_71,71,4.643,181,train
compound_72,72,1.591,21,train
compound_73,73,2.808,126,train
compound_74,74,2.464,96,train
compound_75,75,1.823,37,train
compound_76,76,1.507,12,train
compound_77,77,1.705,26,train
compound_78,78,2.321,88,train
compound_79,79,1.077,0,train
compound_80,80,1.45,6,train
compound_81,81,3.745,159,test
compound_82,82,3.019,137,train
compound_83,83,1.936,50,train
compound_84,84,2.014,55,train
compound_85,85,4.037,170,train
compound_86,86,2.545,107,train
compound_87,87,3.188,143,train
compound_88,88,2.228,78,train
compound_89,89,2.109,65,train
compound_90,90,2.06,58,train
compound_91,91,2.63,118,train
compound_92,92,2.74,123,train
compound_93,93,2.62,116,train
compound_94,94,3.45,148,train
compound_95,95,2.15,71,train
compound_96,96,2.31,86,train
compound_97,97,2.83,127,train
compound_98,98,1.87,44,val
compound_99,99,1.99,53,train
compound_100,100,2.57,110,train
compound_101,101,1.53,15,train
compound_102,102,2.42,92,train
compound_103,103,3.61,152,train
compound_104,104,3.79,160,train
compound_105,105,2.3,84,val
compound_106,106,2.89,131,train
compound_107,107,3.01,136,train
compound_108,108,2.93,134,val
compound_109,109,2.57,111,train
compound_110,110,2.27,80,train
compound_111,111,2.54,105,train
compound_112,112,2.09,60,train
compound_113,113,1.89,46,train
compound_114,114,2.55,108,train
compound_115,115,2.57,112,train
compound_116,116,2.15,72,train
compound_117,117,2.84,129,test
compound_118,118,1.81,36,train
compound_119,119,2.43,94,val
compound_120,120,2.77,124,val
compound_121,121,1.54,17,train
compound_122,122,2.3,85,train
compound_123,123,2.63,119,test
compound_124,124,2.55,109,test
compound_125,125,2.11,66,train
compound_126,126,2.19,75,train
compound_127,127,1.79,32,train
compound_128,128,1.54,18,train
compound_129,129,2.69,122,train
compound_130,130,1.84,39,test
compound_131,131,2.13,69,test
compound_132,132,2.48,97,train
compound_133,133,1.84,40,train
compound_134,134,2.54,106,train
compound_135,135,1.93,48,train
compound_136,136,3.21,144,val
compound_137,137,1.47,8,train
compound_138,138,2.5,101,train
compound_139,139,1.86,41,train
compound_140,140,1.56,19,test
compound_141,141,3.66,156,train
compound_142,142,4.96,184,val
compound_143,143,5.0,187,train
compound_144,144,3.51,149,test
compound_145,145,3.02,138,train
compound_146,146,4.59,179,test
compound_147,147,3.3,146,train
compound_148,148,3.34,147,train
compound_149,149,4.13,173,train
compound_150,150,4.46,175,train
compound_151,151,4.51,177,train
compound_152,152,4.11,172,train
compound_153,153,3.81,161,train
compound_154,154,4.96,185,train
compound_155,155,4.76,183,train
compound_156,156,4.09,171,train
compound_157,157,4.49,176,train
compound_158,158,3.56,151,train
compound_159,159,2.97,135,train
compound_160,160,1.71,28,train
compound_161,161,2.1,63,train
compound_162,162,2.49,98,train
compound_163,163,1.37,4,val
compound_164,164,2.17,73,train
compound_165,165,2.27,81,train
compound_166,166,3.67,158,train
compound_167,167,5.31,190,train
compound_168,168,1.79,33,train
compound_169,169,2.62,117,train
compound_170,170,3.62,155,train
compound_171,171,3.85,162,train
compound_172,172,3.66,157,train
compound_173,173,2.43,95,train
compound_174,174,1.89,47,train
compound_175,175,2.07,59,test
compound_176,176,2.12,68,train
compound_177,177,2.13,70,train
compound_178,178,2.52,102,train
compound_179,179,4.68,182,train
compound_180,180,2.05,57,train
compound_181,181,3.96,165,train
compound_182,182,1.71,29,test
compound_183,183,1.71,30,train
compound_184,184,4.54,178,train
compound_185,185,4.01,169,test
compound_186,186,3.94,164,val
compound_187,187,2.65,121,train
compound_188,188,4.99,186,train
compound_189,189,5.16,188,train
compound_190,190,2.77,125,train
